order_number,item_id,site_code,status,production_order_id,material_price_variance,material_usage_variance,labor_rate_variance,labor_efficiency_variance,variable_overhead_variance,fixed_overhead_volume_variance,scrap_variance,substitution_variance,total_variance,settled_date
MO-005135,AFT-0006,300,Ended,5135,0.0,8091.54,42.93,10.44,2.48,-7188.26,5035.62,0.0,5994.74,2026-03-31
MO-005136,AFT-0043,100,Ended,5136,0.0,44.38,2.78,-10.7,-4.02,5.0,42.1,0.0,79.55,2026-04-17
MO-005137,SA-0020,300,Ended,5137,0.0,62.37,1.33,-7.14,-2.55,46.39,23.49,0.0,123.88,2026-05-04
MO-005138,SA-0057,100,Ended,5138,0.0,30.14,-2.74,-2.13,-0.85,24.63,16.24,0.0,65.28,2026-05-21
MO-005139,SA-0094,200,Ended,5139,0.0,185.79,2.97,6.08,2.16,74.44,32.58,0.0,304.02,2026-06-07
MO-005140,DRV-0031,100,Started,5140,0.0,12095.11,8.41,11.79,4.6,-83.8,97.51,0.0,12133.63,
MO-005184,SA-0009,100,Ended,5184,0.0,66.15,-0.44,-1.04,-0.33,62.87,11.15,0.0,138.36,2026-01-13
MO-005185,SA-0046,200,Ended,5185,0.0,26.99,5.58,7.03,2.49,110.79,30.1,0.0,182.97,2026-01-30
MO-005186,SA-0083,300,Ended,5186,0.0,66.76,20.7,12.75,4.47,115.91,145.93,0.0,366.52,2026-02-16
MO-005187,DRV-0020,200,Ended,5187,0.0,110.45,5.63,10.74,4.11,-98.23,114.81,0.0,147.51,2026-03-05
MO-005188,DRV-0057,100,Ended,5188,0.0,1888.13,15.95,10.9,3.78,-500.97,541.83,0.0,1959.61,2026-03-22
MO-005189,ACT-0034,200,Ended,5189,0.0,118.39,5.67,1.6,1.07,88.83,30.48,0.0,246.04,2026-04-08
MO-005190,CTL-0011,300,Ended,5190,0.0,1973.21,34.24,4.23,0.23,-1949.67,1992.84,0.0,2055.08,2026-04-25
MO-005191,SYS-0008,300,Ended,5191,0.0,276.5,7.17,-49.59,-17.78,-325.31,152.61,0.0,43.59,2026-05-12
MO-005192,AFT-0015,300,Ended,5192,0.0,120.62,-1.87,-7.91,-2.99,56.8,50.59,0.0,215.24,2026-05-29
MO-005193,AFT-0052,100,Ended,5193,0.0,-6.57,2.0,-4.91,-1.69,168.37,12.62,0.0,169.83,2026-06-15
MO-005237,ACT-0060,200,Ended,5237,0.0,88.11,-2.52,0.41,0.12,-1319.27,58.86,0.0,-1174.28,2026-01-03
MO-005238,CTL-0037,300,Ended,5238,0.0,-73.08,-6.15,4.48,1.69,-1909.78,1212.82,0.0,-770.02,2026-01-20
MO-005239,AFT-0004,100,Ended,5239,0.0,1458.16,24.72,53.54,20.26,-330.29,375.14,0.0,1601.53,2026-02-07
MO-005240,AFT-0041,100,Ended,5240,0.0,140.71,10.03,7.17,2.81,50.9,87.23,0.0,298.84,2026-02-24
MO-005241,SA-0018,100,Ended,5241,0.0,147.13,11.08,8.13,2.89,-523.27,70.4,0.0,-283.63,2026-03-13
MO-005242,SA-0055,200,Ended,5242,0.0,297.17,10.82,4.75,2.29,-200.36,110.47,0.0,225.13,2026-03-30
MO-005243,SA-0092,300,Ended,5243,0.0,92.07,6.83,8.53,2.93,-5.88,19.57,0.0,124.04,2026-04-16
MO-005244,DRV-0029,100,Ended,5244,0.0,567.0,2.36,0.45,0.19,-20.45,113.2,0.0,662.74,2026-05-03
MO-005245,ACT-0006,200,Ended,5245,0.0,109.68,6.56,5.21,0.93,-3113.25,234.61,0.0,-2756.25,2026-05-20
MO-005246,ACT-0043,100,Ended,5246,0.0,275.41,-9.79,-46.34,-17.7,-607.95,279.87,0.0,-126.51,2026-06-06
MO-005247,CTL-0020,300,Released,5247,0.0,0.0,0.0,-33.48,-12.55,46.04,0.0,0.0,0.0,
MO-005291,DRV-0018,200,Ended,5291,0.0,182.59,-0.82,-2.29,-0.79,-1599.67,235.0,0.0,-1185.99,2026-01-11
MO-005292,DRV-0055,100,Ended,5292,0.0,149.72,7.61,8.78,3.51,-1303.19,1134.09,0.0,0.53,2026-01-28
MO-005293,ACT-0032,200,Ended,5293,0.0,88.88,1.01,-0.1,0.08,-105.84,41.88,0.0,25.92,2026-02-14
MO-005294,CTL-0009,300,Ended,5294,0.0,1647.9,33.68,42.65,15.86,-241.71,205.19,0.0,1703.57,2026-03-03
MO-005295,SYS-0006,300,Ended,5295,0.0,557.22,75.07,95.15,34.0,-1986.37,382.04,0.0,-842.87,2026-03-20
MO-005296,AFT-0013,100,Ended,5296,0.0,302.49,5.0,1.47,0.58,-123.27,176.8,0.0,363.07,2026-04-06
MO-005297,AFT-0050,100,Ended,5297,0.0,208.65,5.73,1.56,0.51,-92.49,148.28,0.0,272.25,2026-04-23
MO-005298,SA-0027,100,Ended,5298,0.0,-2.8,3.94,-3.49,-1.46,133.01,45.0,0.0,174.19,2026-05-10
MO-005299,SA-0064,200,Ended,5299,0.0,6.73,-0.23,0.95,0.27,31.49,9.51,0.0,48.71,2026-05-27
MO-005300,DRV-0001,100,Ended,5300,0.0,709.93,-8.84,7.7,4.26,-551.17,377.3,0.0,539.17,2026-06-13
MO-005344,AFT-0039,300,Ended,5344,0.0,-82.42,0.12,-3.45,-1.36,-95.26,128.3,0.0,-54.08,2026-01-02
MO-005345,SA-0016,200,Ended,5345,0.0,26.44,-1.62,-5.29,-1.97,36.48,20.57,0.0,74.61,2026-01-19
MO-005346,SA-0053,300,Ended,5346,0.0,273.05,0.38,-4.62,-1.73,-37.15,156.48,0.0,386.4,2026-02-05
MO-005347,SA-0090,100,Ended,5347,0.0,68.31,5.02,0.9,0.31,-1514.76,71.05,0.0,-1369.16,2026-02-22
MO-005348,DRV-0027,100,Ended,5348,0.0,549.85,13.93,7.17,2.67,-130.53,163.63,0.0,606.72,2026-03-11
MO-005349,ACT-0004,200,Ended,5349,0.0,-46.03,17.54,12.44,4.15,36.5,18.26,0.0,42.87,2026-03-28
MO-005350,ACT-0041,100,Ended,5350,0.0,98.5,55.38,53.83,19.95,-160.92,310.47,0.0,377.22,2026-04-14
MO-005351,CTL-0018,300,Ended,5351,0.0,913.42,23.29,100.49,35.27,-2006.61,479.54,0.0,-454.6,2026-05-01
MO-005352,SYS-0015,100,Ended,5352,0.0,914.01,1.92,-3.14,-1.37,-134.41,247.62,0.0,1024.64,2026-05-18
MO-005353,AFT-0022,100,Ended,5353,0.0,20.4,0.02,0.96,0.4,82.45,9.01,0.0,113.24,2026-06-04
MO-005354,AFT-0059,100,Reported Finished,5354,0.0,335.17,-3.62,3.09,1.41,162.53,9.45,0.0,508.03,
MO-005398,CTL-0007,300,Ended,5398,0.0,885.56,10.87,7.99,5.33,-1373.16,617.95,0.0,154.54,2026-01-10
MO-005399,SYS-0004,300,Ended,5399,0.0,297.32,-13.12,-5.15,-3.11,-17.21,47.58,0.0,306.31,2026-01-27
MO-005400,AFT-0011,100,Ended,5400,0.0,18.85,0.16,-4.25,-1.59,3.44,34.48,0.0,51.09,2026-02-13
MO-005401,AFT-0048,300,Ended,5401,0.0,-59.1,2.72,-3.63,-1.32,-511.17,207.54,0.0,-364.97,2026-03-02
MO-005402,SA-0025,200,Ended,5402,0.0,34.14,3.74,-2.07,-0.8,-126.98,75.86,0.0,-16.11,2026-03-19
MO-005403,SA-0062,300,Ended,5403,0.0,29.8,11.64,0.63,0.27,-0.03,41.83,0.0,84.14,2026-04-05
MO-005404,SA-0099,100,Ended,5404,0.0,291.66,30.13,23.91,8.85,-26.42,73.27,0.0,401.4,2026-04-22
MO-005405,DRV-0036,200,Ended,5405,0.0,1055.78,28.85,20.27,7.81,-2017.55,673.74,0.0,-231.11,2026-05-09
MO-005406,ACT-0013,100,Ended,5406,0.0,212.05,11.84,59.51,22.21,-862.65,208.2,0.0,-348.84,2026-05-26
MO-005407,ACT-0050,200,Ended,5407,0.0,805.35,0.67,45.49,15.4,-659.14,559.99,0.0,767.76,2026-06-12
MO-005408,CTL-0027,300,Reported Finished,5408,0.0,653.49,0.38,-5.17,-1.89,91.31,15.78,0.0,753.91,
MO-005452,DRV-0025,100,Ended,5452,0.0,-20.99,2.81,28.64,10.11,-760.35,470.58,0.0,-269.19,2026-01-17
MO-005453,ACT-0002,200,Ended,5453,0.0,-27.91,-4.41,6.91,4.18,-125.2,71.72,0.0,-74.72,2026-02-03
MO-005454,ACT-0039,100,Ended,5454,0.0,-232.92,21.78,-14.98,-6.72,-182.25,106.38,0.0,-308.71,2026-02-20
MO-005455,CTL-0016,300,Ended,5455,0.0,92.7,3.56,-19.22,-6.85,-215.5,238.92,0.0,93.6,2026-03-09
MO-005456,SYS-0013,100,Ended,5456,0.0,102.35,1.63,-2.6,-0.99,-36.6,52.31,0.0,116.11,2026-03-27
MO-005457,AFT-0020,100,Ended,5457,0.0,47.27,5.05,-3.53,-1.17,10.67,47.03,0.0,105.32,2026-04-13
MO-005458,AFT-0057,300,Ended,5458,0.0,-27.71,11.94,0.51,0.15,91.95,43.3,0.0,120.14,2026-04-30
MO-005459,SA-0034,200,Ended,5459,0.0,-71.2,12.77,10.17,3.48,151.69,30.1,0.0,137.01,2026-05-17
MO-005460,SA-0071,300,Ended,5460,0.0,172.09,6.23,56.74,20.74,-85.31,202.16,0.0,372.63,2026-06-03
MO-005461,DRV-0008,200,Ended,5461,0.0,108.33,2.5,21.11,7.25,-140.32,93.63,0.0,92.51,2026-06-20
MO-005505,AFT-0046,100,Ended,5505,0.0,20.73,2.97,1.82,0.65,-36.36,66.41,0.0,56.22,2026-01-08
MO-005506,SA-0023,300,Ended,5506,0.0,247.43,2.73,7.99,2.91,-79.91,201.66,0.0,382.81,2026-01-25
MO-005507,SA-0060,100,Ended,5507,0.0,11.66,-5.42,21.21,7.34,-655.35,41.72,0.0,-578.85,2026-02-11
MO-005508,SA-0097,200,Ended,5508,0.0,285.16,0.13,8.0,2.97,-456.8,144.27,0.0,-16.27,2026-02-28
MO-005509,DRV-0034,200,Ended,5509,0.0,115.79,13.94,-11.47,-4.81,1.17,38.16,0.0,152.78,2026-03-17
MO-005510,ACT-0011,100,Ended,5510,0.0,235.83,47.8,-12.19,-4.43,-175.34,291.61,0.0,383.27,2026-04-03
MO-005511,ACT-0048,200,Ended,5511,0.0,108.98,12.8,-4.43,-1.6,-4116.84,268.39,0.0,-3732.71,2026-04-20
MO-005512,CTL-0025,300,Ended,5512,0.0,30.28,3.3,-2.95,-1.16,-41.03,55.82,0.0,44.26,2026-05-07
MO-005513,SYS-0022,300,Ended,5513,0.0,666.23,7.91,-2.0,-0.78,-104.71,198.61,0.0,765.26,2026-05-24
MO-005514,AFT-0029,100,Ended,5514,0.0,56.52,3.71,12.69,4.7,170.39,15.34,0.0,263.36,2026-06-10
MO-005515,SA-0006,100,Started,5515,0.0,3957.29,0.2,6.98,2.46,-395.43,40.31,0.0,3611.8,
MO-005559,CTL-0014,300,Ended,5559,0.0,-33.2,5.66,50.54,18.07,-361.46,65.86,0.0,-254.52,2026-01-16
MO-005560,SYS-0011,100,Ended,5560,0.0,126.25,2.63,-6.14,-2.27,135.71,76.54,0.0,332.7,2026-02-02
MO-005561,AFT-0018,300,Ended,5561,0.0,41.55,-2.68,8.47,2.92,-126.95,46.69,0.0,-30.0,2026-02-19
MO-005562,AFT-0055,100,Ended,5562,0.0,22.96,0.13,13.19,5.61,-49.95,29.55,0.0,21.49,2026-03-08
MO-005563,SA-0032,300,Ended,5563,0.0,13.5,1.78,6.77,2.19,4.73,19.11,0.0,48.08,2026-03-25
MO-005564,SA-0069,100,Ended,5564,0.0,-4.27,12.24,-3.55,-0.55,25.87,31.36,0.0,61.1,2026-04-11
MO-005565,DRV-0006,200,Ended,5565,0.0,220.0,24.11,-12.73,-4.66,-2075.34,800.0,0.0,-1048.62,2026-04-28
MO-005566,DRV-0043,100,Ended,5566,0.0,503.72,16.08,8.04,2.88,-1026.81,325.74,0.0,-170.35,2026-05-15
MO-005567,ACT-0020,200,Ended,5567,0.0,821.12,28.89,-10.63,-4.52,-595.57,328.76,0.0,568.04,2026-06-01
MO-005568,ACT-0057,100,Ended,5568,0.0,427.65,2.94,-1.18,-0.41,-43.16,78.65,0.0,464.49,2026-06-18
MO-005612,SA-0095,300,Ended,5612,0.0,745.53,9.88,25.02,9.15,-88.27,267.71,0.0,969.03,2026-01-07
MO-005613,DRV-0032,200,Ended,5613,0.0,91.8,8.41,8.29,2.8,-134.66,43.72,0.0,20.37,2026-01-24
MO-005614,ACT-0009,100,Ended,5614,0.0,120.66,-1.89,23.53,8.67,-59.98,50.97,0.0,141.96,2026-02-10
MO-005615,ACT-0046,200,Ended,5615,0.0,583.78,-9.6,52.19,17.63,-409.52,475.47,0.0,709.95,2026-02-27
MO-005616,CTL-0023,300,Ended,5616,0.0,38.12,1.44,-2.89,-1.24,157.69,74.59,0.0,267.71,2026-03-16
MO-005617,SYS-0020,300,Ended,5617,0.0,586.76,1.03,9.77,3.73,-212.28,237.04,0.0,626.05,2026-04-02
MO-005618,AFT-0027,300,Ended,5618,0.0,33.88,6.66,1.14,0.37,36.5,22.96,0.0,101.52,2026-04-19
MO-005619,SA-0004,200,Ended,5619,0.0,43.77,5.97,-0.81,0.21,65.36,11.3,0.0,125.8,2026-05-06
MO-005620,SA-0041,300,Ended,5620,0.0,381.76,18.86,-10.1,-3.84,-62.42,207.48,0.0,531.73,2026-05-23
MO-005621,SA-0078,100,Ended,5621,0.0,196.45,5.27,-1.06,-0.38,-1506.14,294.54,0.0,-1011.31,2026-06-09
MO-005622,DRV-0015,100,Released,5622,0.0,0.0,0.0,-86.42,-33.31,119.73,0.0,0.0,0.0,
MO-005666,AFT-0053,100,Ended,5666,0.0,60.64,5.11,5.0,1.84,-8.11,67.9,0.0,132.38,2026-01-14
MO-005667,SA-0030,100,Ended,5667,0.0,24.04,2.33,6.77,2.4,-715.91,44.73,0.0,-635.64,2026-01-31
MO-005668,SA-0067,200,Ended,5668,0.0,205.23,3.65,32.18,12.58,-511.82,173.36,0.0,-84.83,2026-02-17
MO-005669,DRV-0004,200,Ended,5669,0.0,316.92,-4.01,10.52,4.05,22.09,68.96,0.0,418.53,2026-03-06
MO-005670,DRV-0041,100,Ended,5670,0.0,193.62,-5.0,31.44,12.35,-118.2,190.02,0.0,304.23,2026-03-23
MO-005671,ACT-0018,200,Ended,5671,0.0,967.0,13.36,89.55,31.77,-5016.5,737.7,0.0,-3177.13,2026-04-09
MO-005672,ACT-0055,100,Ended,5672,0.0,349.86,8.96,-5.99,-2.24,-9.95,96.07,0.0,436.71,2026-04-26
MO-005673,CTL-0032,300,Ended,5673,0.0,131.96,3.09,2.48,0.89,-59.03,77.92,0.0,157.31,2026-05-14
MO-005674,SYS-0029,100,Ended,5674,0.0,-230.22,10.63,-5.02,-2.02,35.83,40.61,0.0,-150.19,2026-05-31
MO-005675,AFT-0036,300,Ended,5675,0.0,14.82,4.32,-5.48,-1.91,-1204.3,190.13,0.0,-1002.42,2026-06-17
MO-005719,ACT-0044,200,Ended,5719,0.0,-9.44,45.78,-55.9,-20.05,-174.15,33.45,0.0,-180.31,2026-01-05
MO-005720,CTL-0021,300,Ended,5720,0.0,47.96,5.67,-7.23,-2.73,25.15,63.69,0.0,132.51,2026-01-22
MO-005721,SYS-0018,300,Ended,5721,0.0,60.75,2.0,-4.14,-1.41,-560.77,50.51,0.0,-453.06,2026-02-08
MO-005722,AFT-0025,100,Ended,5722,0.0,64.93,1.91,10.2,4.02,-66.28,49.97,0.0,64.75,2026-02-25
MO-005723,SA-0002,300,Ended,5723,0.0,113.66,-0.86,9.5,3.38,-6.17,32.75,0.0,152.26,2026-03-14
MO-005724,SA-0039,100,Ended,5724,0.0,200.44,8.99,30.16,11.0,4.16,72.61,0.0,327.36,2026-03-31
MO-005725,SA-0076,200,Ended,5725,0.0,136.62,-0.21,15.7,5.89,-18.44,106.37,0.0,245.93,2026-04-17
MO-005726,DRV-0013,100,Ended,5726,0.0,258.11,22.75,80.0,31.39,-525.29,299.17,0.0,166.13,2026-05-04
MO-005727,DRV-0050,200,Ended,5727,0.0,3872.44,78.09,44.34,14.61,-1927.33,1647.08,0.0,3729.24,2026-05-21
MO-005728,ACT-0027,100,Ended,5728,0.0,-31.59,5.64,-9.68,-3.52,116.93,83.33,0.0,161.12,2026-06-07
MO-005729,CTL-0004,300,Reported Finished,5729,0.0,1349.59,3.88,-1.79,-0.76,0.63,27.77,0.0,1379.31,
MO-005773,DRV-0002,200,Ended,5773,0.0,1492.16,14.22,16.89,4.77,-517.93,408.75,0.0,1418.87,2026-01-13
MO-005774,DRV-0039,100,Ended,5774,0.0,176.36,48.71,-38.43,-14.77,-191.84,53.94,0.0,33.97,2026-01-30
MO-005775,ACT-0016,200,Ended,5775,0.0,360.9,24.1,-28.99,-10.56,-191.06,190.09,0.0,344.47,2026-02-16
MO-005776,ACT-0053,100,Ended,5776,0.0,55.63,0.53,-4.95,-1.86,75.37,27.46,0.0,152.18,2026-03-05
MO-005777,CTL-0030,300,Ended,5777,0.0,255.79,-0.94,-2.11,-0.79,-715.72,175.71,0.0,-288.06,2026-03-22
MO-005778,SYS-0027,100,Ended,5778,0.0,-79.08,4.66,11.44,4.17,-23.06,70.04,0.0,-11.82,2026-04-08
MO-005779,AFT-0034,100,Ended,5779,0.0,-73.65,0.64,2.02,0.68,31.34,20.05,0.0,-18.92,2026-04-25
MO-005780,SA-0011,300,Ended,5780,0.0,426.13,16.44,16.99,6.24,-104.77,289.61,0.0,650.63,2026-05-12
MO-005781,SA-0048,100,Ended,5781,0.0,99.15,22.52,48.78,18.6,-2318.26,145.06,0.0,-1984.15,2026-05-29
MO-005782,SA-0085,200,Ended,5782,0.0,851.99,57.46,51.09,17.99,-580.24,325.87,0.0,724.15,2026-06-15
MO-005826,AFT-0023,100,Ended,5826,0.0,56.44,7.73,3.65,1.7,109.7,38.25,0.0,217.46,2026-01-03
MO-005827,AFT-0060,300,Ended,5827,0.0,96.61,4.5,-2.13,-0.89,-373.75,45.82,0.0,-229.85,2026-01-20
MO-005828,SA-0037,200,Ended,5828,0.0,541.31,11.76,17.29,7.45,-280.85,147.75,0.0,444.71,2026-02-07
MO-005829,SA-0074,300,Ended,5829,0.0,-17.32,18.41,-27.37,-10.16,-172.59,33.22,0.0,-175.81,2026-02-24
MO-005830,DRV-0011,100,Ended,5830,0.0,764.84,1.62,-6.77,-2.3,-395.04,576.37,0.0,938.71,2026-03-13
MO-005831,DRV-0048,200,Ended,5831,0.0,762.38,-13.42,-9.4,-3.58,-2126.1,641.23,0.0,-748.89,2026-03-30
MO-005832,ACT-0025,100,Ended,5832,0.0,361.77,0.14,-3.47,-1.32,-82.96,125.83,0.0,400.0,2026-04-16
MO-005833,CTL-0002,300,Ended,5833,0.0,82.5,3.85,-0.91,-0.3,60.64,43.98,0.0,189.76,2026-05-03
MO-005834,CTL-0039,300,Ended,5834,0.0,9.63,8.99,11.51,4.51,-13.82,65.93,0.0,86.74,2026-05-20
MO-005835,AFT-0006,300,Ended,5835,0.0,1140.9,6.11,9.17,3.36,-1588.56,1151.0,0.0,721.99,2026-06-06
MO-005836,AFT-0043,100,Started,5836,0.0,5138.19,14.7,19.39,7.24,-34.23,49.12,0.0,5194.41,
MO-005880,ACT-0051,100,Ended,5880,0.0,-8.58,5.1,-1.22,-0.65,-256.57,341.27,0.0,79.34,2026-01-11
MO-005881,CTL-0028,300,Ended,5881,0.0,352.53,4.09,2.39,0.93,-111.83,188.75,0.0,436.86,2026-01-28
MO-005882,SYS-0025,100,Ended,5882,0.0,-6.21,4.27,-2.83,-1.1,-114.57,55.0,0.0,-65.45,2026-02-14
MO-005883,AFT-0032,100,Ended,5883,0.0,-41.56,11.49,0.94,0.2,-42.51,53.21,0.0,-18.23,2026-03-03
MO-005884,SA-0009,100,Ended,5884,0.0,163.56,0.57,-24.18,-9.3,-42.83,52.06,0.0,139.89,2026-03-20
MO-005885,SA-0046,200,Ended,5885,0.0,153.26,-3.25,-7.21,-2.38,-42.51,135.43,0.0,233.33,2026-04-06
MO-005886,SA-0083,300,Ended,5886,0.0,932.92,27.59,35.57,14.08,-355.6,583.73,0.0,1238.29,2026-04-23
MO-005887,DRV-0020,200,Ended,5887,0.0,1341.68,5.13,5.29,2.22,-616.72,502.31,0.0,1239.92,2026-05-10
MO-005888,DRV-0057,100,Ended,5888,0.0,221.5,2.75,-2.68,-1.01,-24.66,116.11,0.0,312.01,2026-05-27
MO-005889,ACT-0034,200,Ended,5889,0.0,6.76,7.0,-1.2,-0.45,161.22,6.77,0.0,180.1,2026-06-13
MO-005933,SA-0072,100,Ended,5933,0.0,93.85,11.05,22.04,8.5,-1149.21,67.07,0.0,-946.7,2026-01-02
MO-005934,DRV-0009,100,Ended,5934,0.0,-39.62,39.32,66.01,24.63,-53.29,42.67,0.0,79.72,2026-01-19
MO-005935,DRV-0046,200,Ended,5935,0.0,367.47,40.31,60.53,20.74,-669.54,767.66,0.0,587.16,2026-02-05
MO-005936,ACT-0023,100,Ended,5936,0.0,341.46,2.0,-3.51,-1.3,-51.29,138.73,0.0,426.1,2026-02-22
MO-005937,ACT-0060,200,Ended,5937,0.0,11.23,1.75,-1.6,-0.57,-235.47,13.08,0.0,-211.59,2026-03-11
MO-005938,CTL-0037,300,Ended,5938,0.0,713.89,2.93,-1.3,-0.72,-364.05,303.2,0.0,653.95,2026-03-28
MO-005939,AFT-0004,100,Ended,5939,0.0,76.0,-2.97,-13.33,-4.57,-52.83,85.75,0.0,88.04,2026-04-14
MO-005940,AFT-0041,100,Ended,5940,0.0,431.59,14.42,-0.07,0.16,-288.91,407.06,0.0,564.25,2026-05-01
MO-005941,SA-0018,100,Ended,5941,0.0,476.68,16.78,7.59,2.6,-2918.62,316.79,0.0,-2098.18,2026-05-18
MO-005942,SA-0055,200,Ended,5942,0.0,784.16,55.02,51.11,18.66,-1556.85,441.87,0.0,-206.03,2026-06-04
MO-005943,SA-0092,300,Released,5943,0.0,0.0,0.0,-23.55,-8.3,31.86,0.0,0.0,0.0,
MO-005987,AFT-0030,300,Ended,5987,0.0,-0.4,6.03,5.15,2.03,-832.62,41.04,0.0,-778.77,2026-01-10
MO-005988,SA-0007,200,Ended,5988,0.0,136.32,33.89,44.88,16.53,-228.82,152.59,0.0,155.39,2026-01-27
MO-005989,SA-0044,300,Ended,5989,0.0,-5.05,18.95,23.56,8.09,-56.67,21.57,0.0,10.45,2026-02-13
MO-005990,SA-0081,100,Ended,5990,0.0,1179.22,27.05,64.32,23.9,-567.18,563.93,0.0,1291.24,2026-03-02
MO-005991,DRV-0018,200,Ended,5991,0.0,650.64,5.61,22.44,7.52,-7654.7,1028.13,0.0,-5940.36,2026-03-19
MO-005992,DRV-0055,100,Ended,5992,0.0,-222.66,0.59,-4.86,-1.8,-204.4,243.02,0.0,-190.11,2026-04-05
MO-005993,ACT-0032,200,Ended,5993,0.0,8.35,-2.92,-1.47,-0.72,39.05,9.31,0.0,51.6,2026-04-22
MO-005994,CTL-0009,300,Ended,5994,0.0,260.1,0.38,-14.91,-5.61,38.14,51.3,0.0,329.4,2026-05-09
MO-005995,SYS-0006,300,Ended,5995,0.0,124.49,7.7,-4.83,-1.81,-430.0,87.32,0.0,-217.13,2026-05-26
MO-005996,AFT-0013,100,Ended,5996,0.0,1245.5,29.49,12.38,4.54,-1035.11,825.05,0.0,1081.85,2026-06-12
MO-005997,AFT-0050,100,Released,5997,0.0,0.0,0.0,-48.13,-16.97,65.1,0.0,0.0,0.0,
MO-006041,ACT-0058,200,Ended,6041,0.0,36.67,3.56,-1.69,-0.62,40.86,28.85,0.0,107.64,2026-01-17
MO-006042,CTL-0035,300,Ended,6042,0.0,1153.47,14.62,9.48,3.77,-169.38,323.89,0.0,1335.85,2026-02-03
MO-006043,AFT-0002,100,Ended,6043,0.0,158.99,10.83,7.14,2.42,-105.12,130.82,0.0,205.08,2026-02-20
MO-006044,AFT-0039,300,Ended,6044,0.0,-2283.73,14.95,27.69,10.27,-566.49,598.74,0.0,-2198.57,2026-03-09
MO-006045,SA-0016,200,Ended,6045,0.0,70.18,8.78,25.69,9.83,-35.28,92.57,0.0,171.77,2026-03-27
MO-006046,SA-0053,300,Ended,6046,0.0,614.31,0.58,24.08,8.42,-514.53,625.9,0.0,758.76,2026-04-13
MO-006047,SA-0090,100,Ended,6047,0.0,496.56,-0.89,5.21,2.84,-7333.24,310.86,0.0,-6518.66,2026-04-30
MO-006048,DRV-0027,100,Ended,6048,0.0,109.25,0.66,-3.65,-1.47,41.54,35.06,0.0,181.39,2026-05-17
MO-006049,ACT-0004,200,Ended,6049,0.0,25.49,0.9,-8.3,-2.96,60.83,4.06,0.0,80.01,2026-06-03
MO-006050,ACT-0041,100,Ended,6050,0.0,137.2,7.97,-8.14,-3.1,60.65,77.62,0.0,272.21,2026-06-20
MO-006094,SA-0079,200,Ended,6094,0.0,464.33,28.85,5.93,2.13,-741.84,173.73,0.0,-66.87,2026-01-08
MO-006095,DRV-0016,200,Ended,6095,0.0,579.13,5.48,1.9,0.63,-304.57,334.08,0.0,616.64,2026-01-25
MO-006096,DRV-0053,100,Ended,6096,0.0,-47.44,5.22,-7.37,-2.76,17.28,149.76,0.0,114.69,2026-02-11
MO-006097,ACT-0030,200,Ended,6097,0.0,15.97,9.83,3.65,1.46,-238.35,26.63,0.0,-180.82,2026-02-28
MO-006098,CTL-0007,300,Ended,6098,0.0,-4.41,7.2,27.41,10.68,-198.16,154.49,0.0,-2.8,2026-03-17
MO-006099,SYS-0004,300,Ended,6099,0.0,38.62,5.74,9.32,3.58,91.71,10.87,0.0,159.85,2026-04-03
MO-006100,AFT-0011,100,Ended,6100,0.0,297.49,0.39,26.3,9.82,-108.19,160.92,0.0,386.73,2026-04-20
MO-006101,AFT-0048,300,Ended,6101,0.0,2923.7,-1.07,6.75,2.35,-2649.19,933.91,0.0,1216.45,2026-05-07
MO-006102,SA-0025,200,Ended,6102,0.0,422.17,1.06,3.39,1.31,-899.06,303.43,0.0,-167.7,2026-05-24
MO-006103,SA-0062,300,Ended,6103,0.0,-123.09,9.42,12.14,2.49,-670.98,183.02,0.0,-587.0,2026-06-10
MO-006104,SA-0099,100,Reported Finished,6104,0.0,610.46,4.71,-8.23,-3.16,67.63,15.7,0.0,687.11,
MO-006148,AFT-0037,100,Ended,6148,0.0,666.89,17.9,-6.84,-2.5,-828.52,430.83,0.0,277.76,2026-01-16
MO-006149,SA-0014,300,Ended,6149,0.0,90.89,15.46,-2.88,-0.99,-72.33,33.33,0.0,63.48,2026-02-02
MO-006150,SA-0051,100,Ended,6150,0.0,774.23,18.25,20.18,8.02,-795.16,762.1,0.0,787.61,2026-02-19
MO-006151,SA-0088,200,Ended,6151,0.0,187.43,33.56,0.99,0.6,-128.05,159.61,0.0,254.13,2026-03-08
MO-006152,DRV-0025,100,Ended,6152,0.0,284.84,6.49,-3.32,-1.26,-30.54,100.84,0.0,357.04,2026-03-25
MO-006153,ACT-0002,200,Ended,6153,0.0,22.84,2.78,8.55,3.04,34.97,15.94,0.0,88.12,2026-04-11
MO-006154,ACT-0039,100,Ended,6154,0.0,144.04,1.45,13.38,4.99,86.3,26.6,0.0,276.76,2026-04-28
MO-006155,CTL-0016,300,Ended,6155,0.0,-10.08,-3.07,8.05,2.76,39.27,54.61,0.0,91.55,2026-05-15
MO-006156,SYS-0013,100,Ended,6156,0.0,293.88,0.54,9.67,4.18,-307.86,244.1,0.0,244.51,2026-06-01
MO-006157,AFT-0020,100,Ended,6157,0.0,0.77,4.93,13.57,3.72,-281.75,211.62,0.0,-47.13,2026-06-18
MO-006201,ACT-0028,200,Ended,6201,0.0,17.97,-1.05,0.19,0.09,95.17,17.09,0.0,129.47,2026-01-07
