order_number,customer_id,promised_ship_date,id,sales_order_id,line_number,item_id,site_code,order_quantity,shipped_quantity,unit_price,discount_percent,standard_unit_cost,status
SO-006664,CUST-0009,2026-06-23,13328,6664,20,AFT-0047,100,9.0,0.0,2941.16,0.0,1876.46,Open
SO-007702,CUST-0135,2026-06-23,15403,7702,10,ACT-0024,200,13.0,0.0,3254.76,0.035,1998.42,Open
SO-007702,CUST-0135,2026-06-23,15404,7702,20,ACT-0035,100,22.0,0.0,2766.0,0.05,1963.86,Open
SO-008363,CUST-0092,2026-06-23,16725,8363,10,ACT-0015,100,55.0,0.0,1594.73,0.05,1074.85,Open
SO-008363,CUST-0092,2026-06-23,16726,8363,20,ACT-0026,200,2.0,0.0,2498.73,0.0,1654.16,Open
SO-009024,CUST-0049,2026-06-23,18047,9024,10,ACT-0006,200,9.0,0.0,832.84,0.0,521.36,Open
SO-009024,CUST-0049,2026-06-23,18048,9024,20,ACT-0017,100,13.0,0.0,1030.21,0.0,632.55,Open
SO-000217,CUST-0090,2026-06-24,433,217,10,SYS-0019,100,4.0,0.0,2621.18,0.035,1798.13,Open
SO-000217,CUST-0090,2026-06-24,434,217,20,SYS-0030,300,9.0,0.0,4909.24,0.05,3308.83,Open
SO-001255,CUST-0216,2026-06-24,2509,1255,10,DRV-0007,100,13.0,0.0,2086.0,0.0,1355.9,Open
SO-001255,CUST-0216,2026-06-24,2510,1255,20,DRV-0018,200,22.0,0.0,2302.1,0.02,1468.74,Open
SO-001916,CUST-0173,2026-06-24,3831,1916,10,CTL-0038,300,55.0,0.0,2292.9,0.02,1627.96,Open
SO-001916,CUST-0173,2026-06-24,3832,1916,20,DRV-0009,100,2.0,0.0,436.69,0.035,304.81,Open
SO-002577,CUST-0130,2026-06-24,5153,2577,10,CTL-0029,300,9.0,0.0,1127.08,0.035,746.13,Open
SO-002577,CUST-0130,2026-06-24,5154,2577,20,CTL-0040,300,13.0,0.0,5682.14,0.05,3693.39,Open
SO-003615,CUST-0016,2026-06-24,7229,3615,10,AFT-0017,100,22.0,0.0,2725.06,0.0,1705.89,Open
SO-003615,CUST-0016,2026-06-24,7230,3615,20,AFT-0028,100,33.0,0.0,569.64,0.02,349.76,Open
SO-004276,CUST-0213,2026-06-24,8551,4276,10,AFT-0008,100,2.0,0.0,353.22,0.02,242.31,Open
SO-004276,CUST-0213,2026-06-24,8552,4276,20,AFT-0019,100,4.0,0.0,1141.99,0.035,769.7,Open
SO-004871,CUST-0008,2026-06-24,9741,4871,10,ACT-0013,100,2.0,0.0,551.62,0.02,371.79,Open
SO-004871,CUST-0008,2026-06-24,9742,4871,20,ACT-0024,200,4.0,0.0,3018.76,0.035,1998.42,Open
SO-005532,CUST-0205,2026-06-24,11063,5532,10,ACT-0004,200,13.0,0.0,324.15,0.035,202.92,Open
SO-005532,CUST-0205,2026-06-24,11064,5532,20,ACT-0015,100,22.0,0.0,1750.57,0.05,1074.85,Open
SO-006193,CUST-0162,2026-06-24,12385,6193,10,SYS-0025,100,55.0,0.0,763.56,0.05,523.8,Open
SO-006193,CUST-0162,2026-06-24,12386,6193,20,ACT-0006,200,2.0,0.0,773.53,0.0,521.36,Open
SO-007231,CUST-0048,2026-06-24,14461,7231,10,DRV-0013,100,4.0,0.0,821.89,0.02,534.23,Open
SO-007231,CUST-0048,2026-06-24,14462,7231,20,DRV-0024,200,9.0,0.0,2547.99,0.035,1625.62,Open
SO-007892,CUST-0005,2026-06-24,15783,7892,10,DRV-0004,200,22.0,0.0,1079.23,0.035,766.25,Open
SO-007892,CUST-0005,2026-06-24,15784,7892,20,DRV-0015,100,33.0,0.0,1767.52,0.05,1233.73,Open
SO-008553,CUST-0202,2026-06-24,17105,8553,10,CTL-0035,300,2.0,0.0,4659.59,0.05,3084.65,Open
SO-008553,CUST-0202,2026-06-24,17106,8553,20,DRV-0006,200,4.0,0.0,2735.03,0.0,1777.77,Open
SO-009148,CUST-0237,2026-06-24,18295,9148,10,AFT-0040,100,2.0,0.0,873.0,0.05,567.45,Open
SO-009148,CUST-0237,2026-06-24,18296,9148,20,AFT-0051,300,4.0,0.0,2106.29,0.0,1343.81,Open
SO-009809,CUST-0194,2026-06-24,19617,9809,10,AFT-0031,100,13.0,0.0,436.85,0.0,310.16,Open
SO-009809,CUST-0194,2026-06-24,19618,9809,20,AFT-0042,300,22.0,0.0,428.7,0.0,299.23,Open
SO-001445,CUST-0086,2026-06-25,2889,1445,10,ACT-0057,100,22.0,0.0,4108.95,0.0,2621.51,Open
SO-001445,CUST-0086,2026-06-25,2890,1445,20,AFT-0008,100,33.0,0.0,387.08,0.02,242.31,Open
SO-002106,CUST-0043,2026-06-25,4211,2106,10,ACT-0048,200,2.0,0.0,549.3,0.02,383.41,Open
SO-002106,CUST-0043,2026-06-25,4212,2106,20,ACT-0059,100,4.0,0.0,1254.81,0.035,860.8,Open
SO-003362,CUST-0035,2026-06-25,6723,3362,10,SYS-0014,300,13.0,0.0,1327.68,0.035,847.06,Open
SO-003362,CUST-0035,2026-06-25,6724,3362,20,SYS-0025,100,22.0,0.0,836.74,0.05,523.8,Open
SO-005061,CUST-0118,2026-06-25,10121,5061,10,CTL-0033,300,4.0,0.0,5553.7,0.02,3676.55,Open
SO-005061,CUST-0118,2026-06-25,10122,5061,20,DRV-0004,200,9.0,0.0,1178.85,0.035,766.25,Open
SO-005722,CUST-0075,2026-06-25,11443,5722,10,CTL-0024,300,22.0,0.0,1273.96,0.035,782.21,Open
SO-005722,CUST-0075,2026-06-25,11444,5722,20,CTL-0035,300,33.0,0.0,4344.58,0.05,3084.65,Open
SO-008677,CUST-0150,2026-06-25,17353,8677,10,SYS-0029,100,33.0,0.0,1691.56,0.035,1160.41,Open
SO-008677,CUST-0150,2026-06-25,17354,8677,20,ACT-0010,200,55.0,0.0,3313.61,0.05,2233.37,Open
SO-009338,CUST-0107,2026-06-25,18675,9338,10,SYS-0020,300,4.0,0.0,6192.26,0.05,3950.66,Open
SO-009338,CUST-0107,2026-06-25,18676,9338,20,ACT-0001,100,9.0,0.0,3794.17,0.0,2375.15,Open
SO-001192,CUST-0105,2026-06-26,2383,1192,10,DRV-0054,200,13.0,0.0,3675.49,0.035,2389.07,Open
SO-001192,CUST-0105,2026-06-26,2384,1192,20,SYS-0005,100,22.0,0.0,462.73,0.05,295.22,Open
SO-002230,CUST-0231,2026-06-26,4459,2230,10,CTL-0022,300,33.0,0.0,3371.53,0.0,2070.12,Open
SO-002230,CUST-0231,2026-06-26,4460,2230,20,CTL-0033,300,55.0,0.0,5178.24,0.02,3676.55,Open
SO-002891,CUST-0188,2026-06-26,5781,2891,10,CTL-0013,300,4.0,0.0,400.06,0.02,269.64,Open
SO-002891,CUST-0188,2026-06-26,5782,2891,20,CTL-0024,300,9.0,0.0,1181.59,0.035,782.21,Open
SO-003552,CUST-0145,2026-06-26,7103,3552,10,CTL-0004,300,22.0,0.0,2217.7,0.035,1388.28,Open
SO-003552,CUST-0145,2026-06-26,7104,3552,20,CTL-0015,300,33.0,0.0,823.0,0.05,505.32,Open
SO-004590,CUST-0031,2026-06-26,9179,4590,10,ACT-0052,200,55.0,0.0,926.3,0.0,646.56,Open
SO-004590,CUST-0031,2026-06-26,9180,4590,20,AFT-0003,300,2.0,0.0,6580.23,0.02,4514.04,Open
SO-005251,CUST-0228,2026-06-26,10501,5251,10,ACT-0043,100,9.0,0.0,768.85,0.02,499.75,Open
SO-005251,CUST-0228,2026-06-26,10502,5251,20,ACT-0054,200,13.0,0.0,5994.64,0.035,3824.58,Open
SO-005846,CUST-0023,2026-06-26,11691,5846,10,SYS-0018,300,9.0,0.0,989.66,0.02,631.4,Open
SO-005846,CUST-0023,2026-06-26,11692,5846,20,SYS-0029,100,13.0,0.0,1853.69,0.035,1160.41,Open
SO-006507,CUST-0220,2026-06-26,13013,6507,10,SYS-0009,100,33.0,0.0,788.07,0.035,550.07,Open
SO-006507,CUST-0220,2026-06-26,13014,6507,20,SYS-0020,300,55.0,0.0,5758.98,0.05,3950.66,Open
SO-007168,CUST-0177,2026-06-26,14335,7168,10,DRV-0060,200,4.0,0.0,575.03,0.05,373.77,Open
SO-007168,CUST-0177,2026-06-26,14336,7168,20,SYS-0011,100,9.0,0.0,1599.51,0.0,1020.49,Open
SO-008206,CUST-0063,2026-06-26,16411,8206,10,CTL-0028,300,13.0,0.0,3842.59,0.02,2359.35,Open
SO-008206,CUST-0063,2026-06-26,16412,8206,20,CTL-0039,300,22.0,0.0,2653.2,0.035,1883.77,Open
SO-008867,CUST-0020,2026-06-26,17733,8867,10,CTL-0019,300,55.0,0.0,1496.82,0.035,1008.86,Open
SO-008867,CUST-0020,2026-06-26,17734,8867,20,CTL-0030,300,2.0,0.0,4423.78,0.05,2928.54,Open
SO-009528,CUST-0217,2026-06-26,19055,9528,10,CTL-0010,300,9.0,0.0,4539.12,0.05,2841.49,Open
SO-009528,CUST-0217,2026-06-26,19056,9528,20,CTL-0021,300,13.0,0.0,1383.14,0.0,849.25,Open
SO-000060,CUST-0061,2026-06-27,119,60,10,CTL-0002,300,33.0,0.0,1756.42,0.0,1099.52,Open
SO-000060,CUST-0061,2026-06-27,120,60,20,CTL-0013,300,55.0,0.0,439.15,0.02,269.64,Open
SO-000721,CUST-0018,2026-06-27,1441,721,10,AFT-0053,100,4.0,0.0,706.98,0.02,484.99,Open
SO-000721,CUST-0018,2026-06-27,1442,721,20,CTL-0004,300,9.0,0.0,2059.76,0.035,1388.28,Open
SO-001759,CUST-0144,2026-06-27,3517,1759,10,ACT-0041,100,13.0,0.0,682.35,0.0,443.53,Open
SO-001759,CUST-0144,2026-06-27,3518,1759,20,ACT-0052,200,22.0,0.0,1013.42,0.0,646.56,Open
SO-002420,CUST-0101,2026-06-27,4839,2420,10,ACT-0032,200,55.0,0.0,327.72,0.0,232.68,Open
SO-002420,CUST-0101,2026-06-27,4840,2420,20,ACT-0043,100,2.0,0.0,715.97,0.02,499.75,Open
SO-003081,CUST-0058,2026-06-27,6161,3081,10,ACT-0023,100,9.0,0.0,3492.79,0.02,2312.23,Open
SO-003081,CUST-0058,2026-06-27,6162,3081,20,ACT-0034,200,13.0,0.0,521.08,0.035,338.7,Open
SO-004337,CUST-0050,2026-06-27,8673,4337,10,DRV-0049,100,33.0,0.0,1689.85,0.035,1199.79,Open
SO-004337,CUST-0050,2026-06-27,8674,4337,20,DRV-0060,200,55.0,0.0,535.49,0.05,373.77,Open
SO-005375,CUST-0176,2026-06-27,10749,5375,10,CTL-0017,300,2.0,0.0,365.37,0.0,246.26,Open
SO-005375,CUST-0176,2026-06-27,10750,5375,20,CTL-0028,300,4.0,0.0,3563.97,0.02,2359.35,Open
SO-006036,CUST-0133,2026-06-27,12071,6036,10,CTL-0008,300,13.0,0.0,1135.46,0.02,710.8,Open
SO-006036,CUST-0133,2026-06-27,12072,6036,20,CTL-0019,300,22.0,0.0,1643.09,0.035,1008.86,Open
SO-006697,CUST-0090,2026-06-27,13393,6697,10,AFT-0059,100,55.0,0.0,393.72,0.035,270.09,Open
SO-006697,CUST-0090,2026-06-27,13394,6697,20,CTL-0010,300,2.0,0.0,4215.86,0.05,2841.49,Open
SO-007735,CUST-0216,2026-06-27,15469,7735,10,ACT-0047,100,4.0,0.0,1178.89,0.0,766.28,Open
SO-007735,CUST-0216,2026-06-27,15470,7735,20,ACT-0058,200,9.0,0.0,565.22,0.02,360.61,Open
SO-008991,CUST-0208,2026-06-27,17981,8991,10,SYS-0013,100,22.0,0.0,1248.97,0.02,871.78,Open
SO-008991,CUST-0208,2026-06-27,17982,8991,20,SYS-0024,300,33.0,0.0,8372.36,0.035,5743.44,Open
SO-009652,CUST-0165,2026-06-27,19303,9652,10,SYS-0004,300,2.0,0.0,418.26,0.035,271.87,Open
SO-009652,CUST-0165,2026-06-27,19304,9652,20,SYS-0015,100,4.0,0.0,8624.7,0.05,5502.56,Open
SO-000250,CUST-0171,2026-06-28,499,250,10,ACT-0012,200,55.0,0.0,505.65,0.0,310.47,Open
SO-000250,CUST-0171,2026-06-28,500,250,20,ACT-0023,100,2.0,0.0,3256.66,0.02,2312.23,Open
SO-003205,CUST-0006,2026-06-28,6409,3205,10,AFT-0057,300,2.0,0.0,901.75,0.0,618.6,Open
SO-003205,CUST-0006,2026-06-28,6410,3205,20,CTL-0008,300,4.0,0.0,1054.6,0.02,710.8,Open
SO-003866,CUST-0203,2026-06-28,7731,3866,10,AFT-0048,300,13.0,0.0,4066.13,0.02,2594.19,Open
SO-003866,CUST-0203,2026-06-28,7732,3866,20,AFT-0059,100,22.0,0.0,431.45,0.035,270.09,Open
SO-005565,CUST-0046,2026-06-28,11129,5565,10,ACT-0027,100,4.0,0.0,4196.06,0.0,2777.79,Open
SO-005565,CUST-0046,2026-06-28,11130,5565,20,ACT-0038,200,9.0,0.0,650.74,0.02,422.98,Open
SO-006226,CUST-0003,2026-06-28,12451,6226,10,ACT-0018,200,22.0,0.0,1716.38,0.02,1053.86,Open
SO-006226,CUST-0003,2026-06-28,12452,6226,20,ACT-0029,100,33.0,0.0,1300.37,0.035,923.26,Open
SO-006821,CUST-0038,2026-06-28,13641,6821,10,DRV-0053,100,22.0,0.0,3515.38,0.02,2495.92,Open
SO-006821,CUST-0038,2026-06-28,13642,6821,20,SYS-0004,300,33.0,0.0,389.5,0.035,271.87,Open
SO-007482,CUST-0235,2026-06-28,14963,7482,10,DRV-0044,200,2.0,0.0,330.88,0.035,219.04,Open
SO-007482,CUST-0235,2026-06-28,14964,7482,20,DRV-0055,100,4.0,0.0,8308.35,0.05,5400.43,Open
SO-009181,CUST-0078,2026-06-28,18361,9181,10,CTL-0003,300,33.0,0.0,2580.39,0.02,1770.15,Open
SO-009181,CUST-0078,2026-06-28,18362,9181,20,CTL-0014,300,55.0,0.0,558.34,0.035,376.32,Open
SO-009842,CUST-0035,2026-06-28,19683,9842,10,AFT-0054,300,4.0,0.0,436.83,0.035,278.7,Open
SO-009842,CUST-0035,2026-06-28,19684,9842,20,CTL-0005,300,9.0,0.0,1701.21,0.05,1064.96,Open
SO-000374,CUST-0119,2026-06-29,747,374,10,AFT-0046,100,22.0,0.0,1040.99,0.0,664.15,Open
SO-000374,CUST-0119,2026-06-29,748,374,20,AFT-0057,300,33.0,0.0,988.18,0.0,618.6,Open
SO-001035,CUST-0076,2026-06-29,2069,1035,10,AFT-0037,100,2.0,0.0,4408.81,0.0,3077.35,Open
SO-001035,CUST-0076,2026-06-29,2070,1035,20,AFT-0048,300,4.0,0.0,3781.62,0.02,2594.19,Open
SO-001696,CUST-0033,2026-06-29,3391,1696,10,AFT-0028,100,13.0,0.0,538.09,0.02,349.76,Open
SO-001696,CUST-0033,2026-06-29,3392,1696,20,AFT-0039,300,22.0,0.0,13406.58,0.035,8553.4,Open
SO-002734,CUST-0159,2026-06-29,5467,2734,10,ACT-0016,200,33.0,0.0,353.81,0.0,217.24,Open
SO-002734,CUST-0159,2026-06-29,5468,2734,20,ACT-0027,100,55.0,0.0,3912.38,0.0,2777.79,Open
SO-003395,CUST-0116,2026-06-29,6789,3395,10,ACT-0007,100,4.0,0.0,4104.93,0.0,2766.72,Open
SO-003395,CUST-0116,2026-06-29,6790,3395,20,ACT-0018,200,9.0,0.0,1591.93,0.02,1053.86,Open
SO-004056,CUST-0073,2026-06-29,8111,4056,10,SYS-0028,300,22.0,0.0,3375.64,0.02,2113.15,Open
SO-004056,CUST-0073,2026-06-29,8112,4056,20,ACT-0009,100,33.0,0.0,592.98,0.035,364.09,Open
SO-005312,CUST-0065,2026-06-29,10623,5312,10,DRV-0024,200,2.0,0.0,2411.9,0.035,1625.62,Open
SO-005312,CUST-0065,2026-06-29,10624,5312,20,DRV-0035,100,4.0,0.0,1365.74,0.05,904.12,Open
SO-006350,CUST-0191,2026-06-29,12699,6350,10,AFT-0052,100,9.0,0.0,494.7,0.0,315.62,Open
SO-006350,CUST-0191,2026-06-29,12700,6350,20,CTL-0003,300,13.0,0.0,2827.72,0.02,1770.15,Open
SO-007011,CUST-0148,2026-06-29,14021,7011,10,AFT-0043,100,33.0,0.0,1005.33,0.02,701.72,Open
SO-007011,CUST-0148,2026-06-29,14022,7011,20,AFT-0054,300,55.0,0.0,406.27,0.035,278.7,Open
SO-007672,CUST-0105,2026-06-29,15343,7672,10,AFT-0034,100,4.0,0.0,771.0,0.035,501.15,Open
SO-007672,CUST-0105,2026-06-29,15344,7672,20,AFT-0045,300,9.0,0.0,1996.58,0.05,1273.82,Open
SO-008710,CUST-0231,2026-06-29,17419,8710,10,ACT-0022,200,13.0,0.0,1613.03,0.0,990.4,Open
SO-008710,CUST-0231,2026-06-29,17420,8710,20,ACT-0033,100,22.0,0.0,1862.2,0.02,1322.16,Open
SO-009966,CUST-0223,2026-06-29,19931,9966,10,DRV-0048,200,55.0,0.0,1383.76,0.02,916.05,Open
SO-009966,CUST-0223,2026-06-29,19932,9966,20,DRV-0059,100,2.0,0.0,6286.57,0.035,4086.27,Open
SO-000564,CUST-0229,2026-06-30,1127,564,10,SYS-0026,300,33.0,0.0,2239.15,0.0,1401.71,Open
SO-000564,CUST-0229,2026-06-30,1128,564,20,ACT-0007,100,55.0,0.0,4506.06,0.0,2766.72,Open
SO-001225,CUST-0186,2026-06-30,2449,1225,10,SYS-0017,100,4.0,0.0,4183.88,0.0,2870.14,Open
SO-001225,CUST-0186,2026-06-30,2450,1225,20,SYS-0028,300,9.0,0.0,3135.24,0.02,2113.15,Open
SO-002263,CUST-0072,2026-06-30,4525,2263,10,DRV-0005,100,13.0,0.0,1788.82,0.05,1162.73,Open
SO-002263,CUST-0072,2026-06-30,4526,2263,20,DRV-0016,200,22.0,0.0,598.43,0.0,381.8,Open
SO-003519,CUST-0064,2026-06-30,7037,3519,10,AFT-0041,100,55.0,0.0,1666.22,0.0,1163.02,Open
SO-003519,CUST-0064,2026-06-30,7038,3519,20,AFT-0052,100,2.0,0.0,460.09,0.0,315.62,Open
SO-004180,CUST-0021,2026-06-30,8359,4180,10,AFT-0032,100,9.0,0.0,1023.22,0.0,665.09,Open
SO-004180,CUST-0021,2026-06-30,8360,4180,20,AFT-0043,100,13.0,0.0,1099.87,0.02,701.72,Open
SO-004841,CUST-0218,2026-06-30,9681,4841,10,AFT-0023,100,33.0,0.0,384.76,0.02,273.18,Open
SO-004841,CUST-0218,2026-06-30,9682,4841,20,AFT-0034,100,55.0,0.0,717.98,0.035,501.15,Open
SO-005879,CUST-0104,2026-06-30,11757,5879,10,ACT-0011,100,2.0,0.0,618.09,0.0,416.59,Open
SO-005879,CUST-0104,2026-06-30,11758,5879,20,ACT-0022,200,4.0,0.0,1496.07,0.0,990.4,Open
SO-006540,CUST-0061,2026-06-30,13079,6540,10,ACT-0002,200,13.0,0.0,636.49,0.0,398.44,Open
SO-006540,CUST-0061,2026-06-30,13080,6540,20,ACT-0013,100,22.0,0.0,605.52,0.02,371.79,Open
SO-007201,CUST-0018,2026-06-30,14401,7201,10,SYS-0023,100,55.0,0.0,3402.19,0.02,2333.9,Open
SO-007201,CUST-0018,2026-06-30,14402,7201,20,ACT-0004,200,2.0,0.0,301.07,0.035,202.92,Open
SO-007796,CUST-0053,2026-06-30,15591,7796,10,DRV-0028,200,55.0,0.0,3499.54,0.02,2358.69,Open
SO-007796,CUST-0053,2026-06-30,15592,7796,20,DRV-0039,100,2.0,0.0,581.96,0.035,385.26,Open
SO-008457,CUST-0010,2026-06-30,16913,8457,10,DRV-0019,100,9.0,0.0,2243.75,0.035,1404.59,Open
SO-008457,CUST-0010,2026-06-30,16914,8457,20,DRV-0030,200,13.0,0.0,729.2,0.05,447.73,Open
SO-009495,CUST-0136,2026-06-30,18989,9495,10,AFT-0047,100,22.0,0.0,2688.34,0.0,1876.46,Open
SO-009495,CUST-0136,2026-06-30,18990,9495,20,AFT-0058,100,33.0,0.0,362.38,0.02,248.59,Open
SO-000093,CUST-0142,2026-07-01,185,93,10,CTL-0025,300,13.0,0.0,1873.93,0.05,1240.54,Open
SO-000093,CUST-0142,2026-07-01,186,93,20,CTL-0036,300,22.0,0.0,5777.32,0.0,3755.26,Open
SO-000754,CUST-0099,2026-07-01,1507,754,10,CTL-0016,300,55.0,0.0,444.71,0.0,273.05,Open
SO-000754,CUST-0099,2026-07-01,1508,754,20,CTL-0027,300,2.0,0.0,1481.93,0.0,1052.17,Open
SO-001349,CUST-0134,2026-07-01,2697,1349,10,AFT-0021,300,55.0,0.0,556.66,0.0,395.23,Open
SO-001349,CUST-0134,2026-07-01,2698,1349,20,AFT-0032,100,2.0,0.0,952.85,0.0,665.09,Open
SO-002010,CUST-0091,2026-07-01,4019,2010,10,AFT-0012,300,9.0,0.0,1517.36,0.0,1004.49,Open
SO-002010,CUST-0091,2026-07-01,4020,2010,20,AFT-0023,100,13.0,0.0,420.28,0.02,273.18,Open
SO-003709,CUST-0174,2026-07-01,7417,3709,10,SYS-0021,100,2.0,0.0,2822.04,0.0,1935.92,Open
SO-003709,CUST-0174,2026-07-01,7418,3709,20,ACT-0002,200,4.0,0.0,591.16,0.0,398.44,Open
SO-004370,CUST-0131,2026-07-01,8739,4370,10,SYS-0012,300,13.0,0.0,853.29,0.0,544.4,Open
SO-004370,CUST-0131,2026-07-01,8740,4370,20,SYS-0023,100,22.0,0.0,3728.27,0.02,2333.9,Open
SO-007325,CUST-0206,2026-07-01,14649,7325,10,AFT-0027,300,22.0,0.0,462.06,0.0,328.06,Open
SO-007325,CUST-0206,2026-07-01,14650,7325,20,AFT-0038,100,33.0,0.0,1947.82,0.02,1359.58,Open
SO-007986,CUST-0163,2026-07-01,15971,7986,10,AFT-0018,300,2.0,0.0,881.68,0.02,583.67,Open
SO-007986,CUST-0163,2026-07-01,15972,7986,20,AFT-0029,100,4.0,0.0,674.37,0.035,438.34,Open
SO-009685,CUST-0006,2026-07-01,19369,9685,10,SYS-0027,100,33.0,0.0,1458.53,0.0,1000.55,Open
SO-009685,CUST-0006,2026-07-01,19370,9685,20,ACT-0008,200,55.0,0.0,337.97,0.02,227.79,Open
SO-000878,CUST-0047,2026-07-02,1755,878,10,SYS-0010,300,22.0,0.0,1594.91,0.05,1017.55,Open
SO-000878,CUST-0047,2026-07-02,1756,878,20,SYS-0021,100,33.0,0.0,3092.52,0.0,1935.92,Open
SO-001539,CUST-0004,2026-07-02,3077,1539,10,SYS-0001,100,2.0,0.0,693.81,0.0,484.28,Open
SO-001539,CUST-0004,2026-07-02,3078,1539,20,SYS-0012,300,4.0,0.0,793.59,0.0,544.4,Open
SO-002200,CUST-0201,2026-07-02,4399,2200,10,DRV-0052,200,13.0,0.0,1997.12,0.0,1298.13,Open
SO-002200,CUST-0201,2026-07-02,4400,2200,20,SYS-0003,100,22.0,0.0,1238.21,0.02,789.98,Open
SO-003238,CUST-0087,2026-07-02,6475,3238,10,CTL-0020,300,33.0,0.0,1119.06,0.05,687.1,Open
SO-003238,CUST-0087,2026-07-02,6476,3238,20,CTL-0031,300,55.0,0.0,2752.62,0.0,1954.36,Open
SO-004494,CUST-0079,2026-07-02,8987,4494,10,AFT-0016,100,4.0,0.0,2555.3,0.0,1691.61,Open
SO-004494,CUST-0079,2026-07-02,8988,4494,20,AFT-0027,300,9.0,0.0,504.71,0.0,328.06,Open
SO-005155,CUST-0036,2026-07-02,10309,5155,10,AFT-0007,100,22.0,0.0,482.02,0.0,295.96,Open
SO-005155,CUST-0036,2026-07-02,10310,5155,20,AFT-0018,300,33.0,0.0,822.07,0.02,583.67,Open
SO-005816,CUST-0233,2026-07-02,11631,5816,10,ACT-0058,200,2.0,0.0,535.03,0.02,360.61,Open
SO-005816,CUST-0233,2026-07-02,11632,5816,20,AFT-0009,300,4.0,0.0,940.73,0.035,622.76,Open
SO-006854,CUST-0119,2026-07-02,13707,6854,10,SYS-0016,300,9.0,0.0,3169.61,0.0,2022.21,Open
SO-006854,CUST-0119,2026-07-02,13708,6854,20,SYS-0027,100,13.0,0.0,1598.32,0.0,1000.55,Open
SO-007515,CUST-0076,2026-07-02,15029,7515,10,SYS-0007,100,33.0,0.0,1289.5,0.0,900.07,Open
SO-007515,CUST-0076,2026-07-02,15030,7515,20,SYS-0018,300,55.0,0.0,920.41,0.02,631.4,Open
SO-008176,CUST-0033,2026-07-02,16351,8176,10,DRV-0058,200,4.0,0.0,3117.97,0.02,2026.68,Open
SO-008176,CUST-0033,2026-07-02,16352,8176,20,SYS-0009,100,9.0,0.0,862.18,0.035,550.07,Open
SO-008771,CUST-0068,2026-07-02,17541,8771,10,DRV-0003,100,4.0,0.0,3087.24,0.02,1969.66,Open
SO-008771,CUST-0068,2026-07-02,17542,8771,20,DRV-0014,200,9.0,0.0,1560.46,0.035,976.85,Open
SO-009432,CUST-0025,2026-07-02,18863,9432,10,CTL-0034,300,22.0,0.0,2788.77,0.035,1946.56,Open
SO-009432,CUST-0025,2026-07-02,18864,9432,20,DRV-0005,100,33.0,0.0,1694.94,0.05,1162.73,Open
SO-000407,CUST-0200,2026-07-03,813,407,10,CTL-0009,300,9.0,0.0,2174.48,0.035,1465.6,Open
SO-000407,CUST-0200,2026-07-03,814,407,20,CTL-0020,300,13.0,0.0,1037.92,0.05,687.1,Open
SO-001068,CUST-0157,2026-07-03,2135,1068,10,AFT-0060,300,33.0,0.0,609.94,0.05,381.82,Open
SO-001068,CUST-0157,2026-07-03,2136,1068,20,CTL-0011,300,55.0,0.0,4636.68,0.0,2846.92,Open
SO-001729,CUST-0114,2026-07-03,3457,1729,10,AFT-0051,300,4.0,0.0,1958.91,0.0,1343.81,Open
SO-001729,CUST-0114,2026-07-03,3458,1729,20,CTL-0002,300,9.0,0.0,1631.34,0.0,1099.52,Open
SO-002324,CUST-0149,2026-07-03,4647,2324,10,ACT-0056,200,4.0,0.0,917.77,0.0,618.58,Open
SO-002324,CUST-0149,2026-07-03,4648,2324,20,AFT-0007,100,9.0,0.0,447.07,0.0,295.96,Open
SO-002985,CUST-0106,2026-07-03,5969,2985,10,ACT-0047,100,22.0,0.0,1224.09,0.0,766.28,Open
SO-002985,CUST-0106,2026-07-03,5970,2985,20,ACT-0058,200,33.0,0.0,587.31,0.02,360.61,Open
SO-004023,CUST-0232,2026-07-03,8045,4023,10,SYS-0005,100,55.0,0.0,422.95,0.05,295.22,Open
SO-004023,CUST-0232,2026-07-03,8046,4023,20,SYS-0016,300,2.0,0.0,2947.83,0.0,2022.21,Open
SO-004684,CUST-0189,2026-07-03,9367,4684,10,DRV-0056,200,9.0,0.0,4604.86,0.0,2993.16,Open
SO-004684,CUST-0189,2026-07-03,9368,4684,20,SYS-0007,100,13.0,0.0,1410.77,0.0,900.07,Open
SO-005345,CUST-0146,2026-07-03,10689,5345,10,DRV-0047,100,33.0,0.0,5260.73,0.0,3735.12,Open
SO-005345,CUST-0146,2026-07-03,10690,5345,20,DRV-0058,200,55.0,0.0,2903.55,0.02,2026.68,Open
SO-006383,CUST-0032,2026-07-03,12765,6383,10,CTL-0015,300,2.0,0.0,749.73,0.05,505.32,Open
SO-006383,CUST-0032,2026-07-03,12766,6383,20,CTL-0026,300,4.0,0.0,1577.6,0.0,1044.37,Open
SO-007639,CUST-0024,2026-07-03,15277,7639,10,AFT-0011,100,13.0,0.0,748.79,0.0,459.76,Open
SO-007639,CUST-0024,2026-07-03,15278,7639,20,AFT-0022,100,22.0,0.0,317.41,0.0,225.36,Open
SO-008300,CUST-0221,2026-07-03,16599,8300,10,AFT-0002,100,55.0,0.0,2426.1,0.0,1635.19,Open
SO-008300,CUST-0221,2026-07-03,16600,8300,20,AFT-0013,100,2.0,0.0,4451.06,0.02,2946.6,Open
SO-008961,CUST-0178,2026-07-03,17921,8961,10,ACT-0053,100,9.0,0.0,731.17,0.02,457.71,Open
