item_id,site_code,planner_code,buyer_code,lead_time_days,safety_stock,reorder_point,min_order_qty,order_multiple,standard_material_cost,standard_labor_cost,standard_variable_overhead,standard_fixed_overhead,standard_outside_processing,standard_cost_effective_date
CTL-0030,300,PLN-300-07,,42,1.2,2.3,1.0,1.0,2682.39,128.92,46.58,70.65,0.0,2026-01-01
CTL-0031,300,PLN-300-08,,45,7.75,12.75,2.0,5.0,1766.0,78.44,30.27,46.01,33.64,2026-01-01
CTL-0032,300,PLN-300-01,,48,19.0,28.0,5.0,10.0,1903.92,23.41,8.19,12.41,0.0,2026-01-01
CTL-0033,300,PLN-300-02,,51,45.0,61.0,10.0,20.0,3586.47,37.95,14.2,21.56,16.37,2026-01-01
CTL-0034,300,PLN-300-03,,54,130.0,165.0,25.0,50.0,1852.42,50.14,17.5,26.5,0.0,2026-01-01
CTL-0035,300,PLN-300-04,,57,120.0,180.0,50.0,100.0,2972.14,48.25,18.12,27.52,18.62,2026-01-01
CTL-0036,300,PLN-300-05,,60,1.55,2.05,1.0,1.0,3589.99,84.92,31.9,48.45,0.0,2026-01-01
CTL-0037,300,PLN-300-06,,8,9.5,11.5,2.0,5.0,4234.47,43.13,16.15,24.52,13.22,2026-01-01
CTL-0038,300,PLN-300-07,,11,22.5,25.5,5.0,10.0,1562.98,33.88,12.35,18.74,0.0,2026-01-01
CTL-0039,300,PLN-300-08,,14,52.0,56.0,10.0,20.0,1806.27,24.48,9.48,14.41,29.14,2026-01-01
CTL-0040,300,PLN-300-01,,17,60.0,152.5,25.0,50.0,3675.53,9.55,3.31,5.0,0.0,2026-01-01
DRV-0001,100,PLN-100-02,,10,7.75,10.25,2.0,5.0,984.99,38.52,14.42,21.89,18.17,2026-01-01
DRV-0002,200,PLN-200-03,,13,19.0,23.0,5.0,10.0,2217.67,28.93,9.64,14.58,0.0,2026-01-01
DRV-0003,100,PLN-100-04,,16,45.0,51.0,10.0,20.0,1902.35,27.46,10.04,15.23,14.57,2026-01-01
DRV-0004,200,PLN-200-05,,19,130.0,140.0,25.0,50.0,744.28,11.22,4.27,6.48,0.0,2026-01-01
DRV-0005,100,PLN-100-06,,22,120.0,305.0,50.0,100.0,1111.8,18.51,6.91,10.49,15.02,2026-01-01
DRV-0006,200,PLN-200-07,,25,1.55,3.3,1.0,1.0,1646.58,68.75,24.81,37.63,0.0,2026-01-01
DRV-0007,100,PLN-100-08,,28,9.5,9.0,2.0,5.0,1207.31,58.72,22.67,34.46,32.74,2026-01-01
DRV-0008,200,PLN-200-01,,31,22.5,20.5,5.0,10.0,216.24,23.31,8.16,12.36,0.0,2026-01-01
DRV-0009,100,PLN-100-02,,34,52.0,46.0,10.0,20.0,218.82,36.07,13.5,20.5,15.92,2026-01-01
DRV-0010,200,PLN-200-03,,37,60.0,127.5,25.0,50.0,276.67,46.73,16.31,24.71,0.0,2026-01-01
DRV-0011,100,PLN-100-04,,40,155.0,280.0,50.0,100.0,701.78,53.83,19.71,29.9,18.17,2026-01-01
DRV-0012,200,PLN-200-05,,43,1.9,3.05,1.0,1.0,143.44,47.66,17.93,27.23,0.0,2026-01-01
DRV-0013,100,PLN-100-06,,46,11.25,16.5,2.0,5.0,429.9,43.38,16.8,25.54,18.62,2026-01-01
DRV-0014,200,PLN-200-07,,49,26.0,18.0,5.0,10.0,905.38,36.55,13.86,21.05,0.0,2026-01-01
DRV-0015,100,PLN-100-08,,52,24.0,41.0,10.0,20.0,1138.69,33.76,13.11,19.93,28.24,2026-01-01
DRV-0016,200,PLN-200-01,,55,77.5,115.0,25.0,50.0,367.85,7.48,2.58,3.9,0.0,2026-01-01
DRV-0017,100,PLN-100-02,,58,190.0,255.0,50.0,100.0,733.34,15.48,5.78,8.77,13.67,2026-01-01
DRV-0018,200,PLN-200-03,,61,2.25,2.8,1.0,1.0,1224.7,130.12,45.31,68.62,0.0,2026-01-01
DRV-0019,100,PLN-100-04,,9,13.0,15.25,2.0,5.0,1304.69,43.76,15.98,24.24,15.92,2026-01-01
DRV-0020,200,PLN-200-05,,12,12.0,33.0,5.0,10.0,916.9,20.44,7.72,11.73,0.0,2026-01-01
DRV-0021,100,PLN-100-06,,15,31.0,36.0,10.0,20.0,948.84,31.32,11.72,17.79,16.37,2026-01-01
DRV-0022,200,PLN-200-07,,18,95.0,102.5,25.0,50.0,4116.86,43.08,15.53,23.54,0.0,2026-01-01
DRV-0023,100,PLN-100-08,,21,225.0,230.0,50.0,100.0,1297.73,62.64,24.18,36.76,35.44,2026-01-01
DRV-0024,200,PLN-200-01,,24,2.6,2.55,1.0,1.0,1468.58,83.32,29.31,44.41,0.0,2026-01-01
DRV-0025,100,PLN-100-02,,27,6.0,14.0,2.0,5.0,2103.83,61.63,23.08,35.05,17.27,2026-01-01
DRV-0026,200,PLN-200-03,,30,15.5,30.5,5.0,10.0,568.81,37.57,12.89,19.51,0.0,2026-01-01
DRV-0027,100,PLN-100-04,,33,38.0,66.0,10.0,20.0,1088.92,35.15,12.33,18.68,13.67,2026-01-01
DRV-0028,200,PLN-200-05,,36,112.5,90.0,25.0,50.0,2328.55,15.92,5.65,8.57,0.0,2026-01-01
DRV-0029,100,PLN-100-06,,39,260.0,205.0,50.0,100.0,1580.45,11.65,4.34,6.59,14.12,2026-01-01
DRV-0030,200,PLN-200-07,,42,1.2,2.3,1.0,1.0,253.23,101.88,36.8,55.81,0.0,2026-01-01
DRV-0031,100,PLN-100-08,,45,7.75,12.75,2.0,5.0,1247.07,58.28,22.5,34.2,30.94,2026-01-01
DRV-0032,200,PLN-200-01,,48,19.0,28.0,5.0,10.0,204.07,20.65,7.22,10.93,0.0,2026-01-01
DRV-0033,100,PLN-100-02,,51,45.0,61.0,10.0,20.0,1058.29,26.57,9.94,15.09,15.02,2026-01-01
DRV-0034,200,PLN-200-03,,54,130.0,165.0,25.0,50.0,354.09,37.21,13.0,19.69,0.0,2026-01-01
DRV-0035,100,PLN-100-04,,57,120.0,180.0,50.0,100.0,783.48,53.88,19.66,29.83,17.27,2026-01-01
DRV-0036,200,PLN-200-05,,60,1.55,2.05,1.0,1.0,1364.46,68.18,25.63,38.92,0.0,2026-01-01
DRV-0037,100,PLN-100-06,,8,9.5,11.5,2.0,5.0,4347.95,53.43,20.01,30.38,17.72,2026-01-01
DRV-0038,200,PLN-200-07,,11,22.5,25.5,5.0,10.0,444.21,52.69,18.85,28.58,0.0,2026-01-01
DRV-0039,100,PLN-100-08,,14,52.0,56.0,10.0,20.0,257.27,48.73,18.64,28.33,32.29,2026-01-01
DRV-0040,200,PLN-200-01,,17,60.0,152.5,25.0,50.0,173.14,24.19,8.6,13.03,0.0,2026-01-01
DRV-0041,100,PLN-100-02,,20,155.0,330.0,50.0,100.0,210.86,20.89,8.36,12.73,18.62,2026-01-01
DRV-0042,200,PLN-200-03,,23,1.9,1.8,1.0,1.0,282.56,67.66,23.59,35.73,0.0,2026-01-01
DRV-0043,100,PLN-100-04,,26,11.25,10.25,2.0,5.0,483.48,43.34,15.82,24.01,15.02,2026-01-01
DRV-0044,200,PLN-200-05,,29,26.0,23.0,5.0,10.0,184.6,17.64,6.67,10.13,0.0,2026-01-01
DRV-0045,100,PLN-100-06,,32,24.0,51.0,10.0,20.0,313.14,25.85,9.67,14.68,15.47,2026-01-01
DRV-0046,200,PLN-200-07,,35,77.5,140.0,25.0,50.0,810.24,35.19,12.67,19.22,0.0,2026-01-01
DRV-0047,100,PLN-100-08,,38,190.0,305.0,50.0,100.0,3601.14,50.85,19.64,29.85,33.64,2026-01-01
DRV-0048,200,PLN-200-01,,41,2.25,3.3,1.0,1.0,830.49,45.43,15.95,24.17,0.0,2026-01-01
DRV-0049,100,PLN-100-02,,44,13.0,9.0,2.0,5.0,1095.57,45.22,16.93,25.7,16.37,2026-01-01
DRV-0050,200,PLN-200-03,,47,12.0,20.5,5.0,10.0,3032.78,55.68,19.42,29.42,0.0,2026-01-01
DRV-0051,100,PLN-100-04,,50,31.0,46.0,10.0,20.0,3042.55,52.38,19.62,29.8,18.62,2026-01-01
DRV-0052,200,PLN-200-05,,53,95.0,127.5,25.0,50.0,1229.25,35.35,13.31,20.22,0.0,2026-01-01
DRV-0053,100,PLN-100-06,,56,225.0,280.0,50.0,100.0,2427.95,28.2,10.55,16.01,13.22,2026-01-01
DRV-0054,200,PLN-200-07,,59,2.6,3.05,1.0,1.0,2295.11,49.06,17.84,27.07,0.0,2026-01-01
DRV-0055,100,PLN-100-08,,7,6.0,16.5,2.0,5.0,5306.11,33.01,12.76,19.4,29.14,2026-01-01
DRV-0056,200,PLN-200-01,,10,15.5,18.0,5.0,10.0,2970.21,12.25,4.26,6.45,0.0,2026-01-01
DRV-0057,100,PLN-100-02,,13,38.0,41.0,10.0,20.0,3815.11,21.1,7.88,11.97,14.12,2026-01-01
DRV-0058,200,PLN-200-03,,16,112.5,115.0,25.0,50.0,1971.08,29.58,10.35,15.67,0.0,2026-01-01
DRV-0059,100,PLN-100-04,,19,260.0,255.0,50.0,100.0,3985.72,43.87,16.02,24.3,16.37,2026-01-01
DRV-0060,200,PLN-200-05,,22,1.2,2.8,1.0,1.0,201.15,88.7,33.32,50.6,0.0,2026-01-01
PC-0001,100,PLN-100-02,BUY-02,10,7.75,10.25,2.0,5.0,47.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0001,200,PLN-200-02,BUY-02,10,7.75,10.25,2.0,5.0,47.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0001,300,PLN-300-02,BUY-02,10,7.75,10.25,2.0,5.0,47.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0001,400,PLN-400-02,BUY-02,10,7.75,10.25,2.0,5.0,47.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0002,100,PLN-100-03,BUY-03,13,19.0,23.0,5.0,10.0,51.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0002,200,PLN-200-03,BUY-03,13,19.0,23.0,5.0,10.0,51.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0002,300,PLN-300-03,BUY-03,13,19.0,23.0,5.0,10.0,51.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0002,400,PLN-400-03,BUY-03,13,19.0,23.0,5.0,10.0,51.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0003,100,PLN-100-04,BUY-04,16,45.0,51.0,10.0,20.0,54.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0003,200,PLN-200-04,BUY-04,16,45.0,51.0,10.0,20.0,54.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0003,300,PLN-300-04,BUY-04,16,45.0,51.0,10.0,20.0,54.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0003,400,PLN-400-04,BUY-04,16,45.0,51.0,10.0,20.0,54.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0004,100,PLN-100-05,BUY-05,19,130.0,140.0,25.0,50.0,57.73,0.0,0.0,0.0,0.0,2026-01-01
PC-0004,200,PLN-200-05,BUY-05,19,130.0,140.0,25.0,50.0,57.73,0.0,0.0,0.0,0.0,2026-01-01
PC-0004,300,PLN-300-05,BUY-05,19,130.0,140.0,25.0,50.0,57.73,0.0,0.0,0.0,0.0,2026-01-01
PC-0004,400,PLN-400-05,BUY-05,19,130.0,140.0,25.0,50.0,57.73,0.0,0.0,0.0,0.0,2026-01-01
PC-0005,100,PLN-100-06,BUY-06,22,120.0,305.0,50.0,100.0,61.0,0.0,0.0,0.0,0.0,2026-01-01
PC-0005,200,PLN-200-06,BUY-06,22,120.0,305.0,50.0,100.0,61.0,0.0,0.0,0.0,0.0,2026-01-01
PC-0005,300,PLN-300-06,BUY-06,22,120.0,305.0,50.0,100.0,61.0,0.0,0.0,0.0,0.0,2026-01-01
PC-0005,400,PLN-400-06,BUY-06,22,120.0,305.0,50.0,100.0,61.0,0.0,0.0,0.0,0.0,2026-01-01
PC-0006,100,PLN-100-07,BUY-07,25,1.55,3.3,1.0,1.0,64.28,0.0,0.0,0.0,0.0,2026-01-01
PC-0006,200,PLN-200-07,BUY-07,25,1.55,3.3,1.0,1.0,64.28,0.0,0.0,0.0,0.0,2026-01-01
PC-0006,300,PLN-300-07,BUY-07,25,1.55,3.3,1.0,1.0,64.28,0.0,0.0,0.0,0.0,2026-01-01
PC-0006,400,PLN-400-07,BUY-07,25,1.55,3.3,1.0,1.0,64.28,0.0,0.0,0.0,0.0,2026-01-01
PC-0007,100,PLN-100-08,BUY-08,28,9.5,9.0,2.0,5.0,67.55,0.0,0.0,0.0,0.0,2026-01-01
PC-0007,200,PLN-200-08,BUY-08,28,9.5,9.0,2.0,5.0,67.55,0.0,0.0,0.0,0.0,2026-01-01
PC-0007,300,PLN-300-08,BUY-08,28,9.5,9.0,2.0,5.0,67.55,0.0,0.0,0.0,0.0,2026-01-01
PC-0007,400,PLN-400-08,BUY-08,28,9.5,9.0,2.0,5.0,67.55,0.0,0.0,0.0,0.0,2026-01-01
PC-0008,100,PLN-100-01,BUY-09,31,22.5,20.5,5.0,10.0,70.82,0.0,0.0,0.0,0.0,2026-01-01
PC-0008,200,PLN-200-01,BUY-09,31,22.5,20.5,5.0,10.0,70.82,0.0,0.0,0.0,0.0,2026-01-01
PC-0008,300,PLN-300-01,BUY-09,31,22.5,20.5,5.0,10.0,70.82,0.0,0.0,0.0,0.0,2026-01-01
PC-0008,400,PLN-400-01,BUY-09,31,22.5,20.5,5.0,10.0,70.82,0.0,0.0,0.0,0.0,2026-01-01
PC-0009,100,PLN-100-02,BUY-10,34,52.0,46.0,10.0,20.0,74.09,0.0,0.0,0.0,0.0,2026-01-01
PC-0009,200,PLN-200-02,BUY-10,34,52.0,46.0,10.0,20.0,74.09,0.0,0.0,0.0,0.0,2026-01-01
PC-0009,300,PLN-300-02,BUY-10,34,52.0,46.0,10.0,20.0,74.09,0.0,0.0,0.0,0.0,2026-01-01
PC-0009,400,PLN-400-02,BUY-10,34,52.0,46.0,10.0,20.0,74.09,0.0,0.0,0.0,0.0,2026-01-01
PC-0010,100,PLN-100-03,BUY-11,37,60.0,127.5,25.0,50.0,77.37,0.0,0.0,0.0,0.0,2026-01-01
PC-0010,200,PLN-200-03,BUY-11,37,60.0,127.5,25.0,50.0,77.37,0.0,0.0,0.0,0.0,2026-01-01
PC-0010,300,PLN-300-03,BUY-11,37,60.0,127.5,25.0,50.0,77.37,0.0,0.0,0.0,0.0,2026-01-01
PC-0010,400,PLN-400-03,BUY-11,37,60.0,127.5,25.0,50.0,77.37,0.0,0.0,0.0,0.0,2026-01-01
PC-0011,100,PLN-100-04,BUY-12,40,155.0,280.0,50.0,100.0,80.64,0.0,0.0,0.0,0.0,2026-01-01
PC-0011,200,PLN-200-04,BUY-12,40,155.0,280.0,50.0,100.0,80.64,0.0,0.0,0.0,0.0,2026-01-01
PC-0011,300,PLN-300-04,BUY-12,40,155.0,280.0,50.0,100.0,80.64,0.0,0.0,0.0,0.0,2026-01-01
PC-0011,400,PLN-400-04,BUY-12,40,155.0,280.0,50.0,100.0,80.64,0.0,0.0,0.0,0.0,2026-01-01
PC-0012,100,PLN-100-05,BUY-01,43,1.9,3.05,1.0,1.0,83.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0012,200,PLN-200-05,BUY-01,43,1.9,3.05,1.0,1.0,83.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0012,300,PLN-300-05,BUY-01,43,1.9,3.05,1.0,1.0,83.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0012,400,PLN-400-05,BUY-01,43,1.9,3.05,1.0,1.0,83.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0013,100,PLN-100-06,BUY-02,46,11.25,16.5,2.0,5.0,87.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0013,200,PLN-200-06,BUY-02,46,11.25,16.5,2.0,5.0,87.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0013,300,PLN-300-06,BUY-02,46,11.25,16.5,2.0,5.0,87.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0013,400,PLN-400-06,BUY-02,46,11.25,16.5,2.0,5.0,87.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0014,100,PLN-100-07,BUY-03,49,26.0,18.0,5.0,10.0,90.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0014,200,PLN-200-07,BUY-03,49,26.0,18.0,5.0,10.0,90.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0014,300,PLN-300-07,BUY-03,49,26.0,18.0,5.0,10.0,90.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0014,400,PLN-400-07,BUY-03,49,26.0,18.0,5.0,10.0,90.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0015,100,PLN-100-08,BUY-04,52,24.0,41.0,10.0,20.0,93.73,0.0,0.0,0.0,0.0,2026-01-01
PC-0015,200,PLN-200-08,BUY-04,52,24.0,41.0,10.0,20.0,93.73,0.0,0.0,0.0,0.0,2026-01-01
PC-0015,300,PLN-300-08,BUY-04,52,24.0,41.0,10.0,20.0,93.73,0.0,0.0,0.0,0.0,2026-01-01
PC-0015,400,PLN-400-08,BUY-04,52,24.0,41.0,10.0,20.0,93.73,0.0,0.0,0.0,0.0,2026-01-01
PC-0016,100,PLN-100-01,BUY-05,55,77.5,115.0,25.0,50.0,97.0,0.0,0.0,0.0,0.0,2026-01-01
PC-0016,200,PLN-200-01,BUY-05,55,77.5,115.0,25.0,50.0,97.0,0.0,0.0,0.0,0.0,2026-01-01
PC-0016,300,PLN-300-01,BUY-05,55,77.5,115.0,25.0,50.0,97.0,0.0,0.0,0.0,0.0,2026-01-01
PC-0016,400,PLN-400-01,BUY-05,55,77.5,115.0,25.0,50.0,97.0,0.0,0.0,0.0,0.0,2026-01-01
PC-0017,100,PLN-100-02,BUY-06,58,190.0,255.0,50.0,100.0,100.28,0.0,0.0,0.0,0.0,2026-01-01
PC-0017,200,PLN-200-02,BUY-06,58,190.0,255.0,50.0,100.0,100.28,0.0,0.0,0.0,0.0,2026-01-01
PC-0017,300,PLN-300-02,BUY-06,58,190.0,255.0,50.0,100.0,100.28,0.0,0.0,0.0,0.0,2026-01-01
PC-0017,400,PLN-400-02,BUY-06,58,190.0,255.0,50.0,100.0,100.28,0.0,0.0,0.0,0.0,2026-01-01
PC-0018,100,PLN-100-03,BUY-07,61,2.25,2.8,1.0,1.0,103.55,0.0,0.0,0.0,0.0,2026-01-01
PC-0018,200,PLN-200-03,BUY-07,61,2.25,2.8,1.0,1.0,103.55,0.0,0.0,0.0,0.0,2026-01-01
PC-0018,300,PLN-300-03,BUY-07,61,2.25,2.8,1.0,1.0,103.55,0.0,0.0,0.0,0.0,2026-01-01
PC-0018,400,PLN-400-03,BUY-07,61,2.25,2.8,1.0,1.0,103.55,0.0,0.0,0.0,0.0,2026-01-01
PC-0019,100,PLN-100-04,BUY-08,9,13.0,15.25,2.0,5.0,106.82,0.0,0.0,0.0,0.0,2026-01-01
PC-0019,200,PLN-200-04,BUY-08,9,13.0,15.25,2.0,5.0,106.82,0.0,0.0,0.0,0.0,2026-01-01
PC-0019,300,PLN-300-04,BUY-08,9,13.0,15.25,2.0,5.0,106.82,0.0,0.0,0.0,0.0,2026-01-01
PC-0019,400,PLN-400-04,BUY-08,9,13.0,15.25,2.0,5.0,106.82,0.0,0.0,0.0,0.0,2026-01-01
PC-0020,100,PLN-100-05,BUY-09,12,12.0,33.0,5.0,10.0,110.09,0.0,0.0,0.0,0.0,2026-01-01
PC-0020,200,PLN-200-05,BUY-09,12,12.0,33.0,5.0,10.0,110.09,0.0,0.0,0.0,0.0,2026-01-01
PC-0020,300,PLN-300-05,BUY-09,12,12.0,33.0,5.0,10.0,110.09,0.0,0.0,0.0,0.0,2026-01-01
PC-0020,400,PLN-400-05,BUY-09,12,12.0,33.0,5.0,10.0,110.09,0.0,0.0,0.0,0.0,2026-01-01
PC-0021,100,PLN-100-06,BUY-10,15,31.0,36.0,10.0,20.0,113.37,0.0,0.0,0.0,0.0,2026-01-01
PC-0021,200,PLN-200-06,BUY-10,15,31.0,36.0,10.0,20.0,113.37,0.0,0.0,0.0,0.0,2026-01-01
PC-0021,300,PLN-300-06,BUY-10,15,31.0,36.0,10.0,20.0,113.37,0.0,0.0,0.0,0.0,2026-01-01
PC-0021,400,PLN-400-06,BUY-10,15,31.0,36.0,10.0,20.0,113.37,0.0,0.0,0.0,0.0,2026-01-01
PC-0022,100,PLN-100-07,BUY-11,18,95.0,102.5,25.0,50.0,116.64,0.0,0.0,0.0,0.0,2026-01-01
PC-0022,200,PLN-200-07,BUY-11,18,95.0,102.5,25.0,50.0,116.64,0.0,0.0,0.0,0.0,2026-01-01
PC-0022,300,PLN-300-07,BUY-11,18,95.0,102.5,25.0,50.0,116.64,0.0,0.0,0.0,0.0,2026-01-01
PC-0022,400,PLN-400-07,BUY-11,18,95.0,102.5,25.0,50.0,116.64,0.0,0.0,0.0,0.0,2026-01-01
PC-0023,100,PLN-100-08,BUY-12,21,225.0,230.0,50.0,100.0,119.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0023,200,PLN-200-08,BUY-12,21,225.0,230.0,50.0,100.0,119.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0023,300,PLN-300-08,BUY-12,21,225.0,230.0,50.0,100.0,119.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0023,400,PLN-400-08,BUY-12,21,225.0,230.0,50.0,100.0,119.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0024,100,PLN-100-01,BUY-01,24,2.6,2.55,1.0,1.0,123.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0024,200,PLN-200-01,BUY-01,24,2.6,2.55,1.0,1.0,123.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0024,300,PLN-300-01,BUY-01,24,2.6,2.55,1.0,1.0,123.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0024,400,PLN-400-01,BUY-01,24,2.6,2.55,1.0,1.0,123.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0025,100,PLN-100-02,BUY-02,27,6.0,14.0,2.0,5.0,126.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0025,200,PLN-200-02,BUY-02,27,6.0,14.0,2.0,5.0,126.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0025,300,PLN-300-02,BUY-02,27,6.0,14.0,2.0,5.0,126.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0025,400,PLN-400-02,BUY-02,27,6.0,14.0,2.0,5.0,126.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0026,100,PLN-100-03,BUY-03,30,15.5,30.5,5.0,10.0,129.73,0.0,0.0,0.0,0.0,2026-01-01
PC-0026,200,PLN-200-03,BUY-03,30,15.5,30.5,5.0,10.0,129.73,0.0,0.0,0.0,0.0,2026-01-01
PC-0026,300,PLN-300-03,BUY-03,30,15.5,30.5,5.0,10.0,129.73,0.0,0.0,0.0,0.0,2026-01-01
PC-0026,400,PLN-400-03,BUY-03,30,15.5,30.5,5.0,10.0,129.73,0.0,0.0,0.0,0.0,2026-01-01
PC-0027,100,PLN-100-04,BUY-04,33,38.0,66.0,10.0,20.0,133.0,0.0,0.0,0.0,0.0,2026-01-01
PC-0027,200,PLN-200-04,BUY-04,33,38.0,66.0,10.0,20.0,133.0,0.0,0.0,0.0,0.0,2026-01-01
PC-0027,300,PLN-300-04,BUY-04,33,38.0,66.0,10.0,20.0,133.0,0.0,0.0,0.0,0.0,2026-01-01
PC-0027,400,PLN-400-04,BUY-04,33,38.0,66.0,10.0,20.0,133.0,0.0,0.0,0.0,0.0,2026-01-01
PC-0028,100,PLN-100-05,BUY-05,36,112.5,90.0,25.0,50.0,136.28,0.0,0.0,0.0,0.0,2026-01-01
PC-0028,200,PLN-200-05,BUY-05,36,112.5,90.0,25.0,50.0,136.28,0.0,0.0,0.0,0.0,2026-01-01
PC-0028,300,PLN-300-05,BUY-05,36,112.5,90.0,25.0,50.0,136.28,0.0,0.0,0.0,0.0,2026-01-01
PC-0028,400,PLN-400-05,BUY-05,36,112.5,90.0,25.0,50.0,136.28,0.0,0.0,0.0,0.0,2026-01-01
PC-0029,100,PLN-100-06,BUY-06,39,260.0,205.0,50.0,100.0,139.55,0.0,0.0,0.0,0.0,2026-01-01
PC-0029,200,PLN-200-06,BUY-06,39,260.0,205.0,50.0,100.0,139.55,0.0,0.0,0.0,0.0,2026-01-01
PC-0029,300,PLN-300-06,BUY-06,39,260.0,205.0,50.0,100.0,139.55,0.0,0.0,0.0,0.0,2026-01-01
PC-0029,400,PLN-400-06,BUY-06,39,260.0,205.0,50.0,100.0,139.55,0.0,0.0,0.0,0.0,2026-01-01
PC-0030,100,PLN-100-07,BUY-07,42,1.2,2.3,1.0,1.0,142.82,0.0,0.0,0.0,0.0,2026-01-01
PC-0030,200,PLN-200-07,BUY-07,42,1.2,2.3,1.0,1.0,142.82,0.0,0.0,0.0,0.0,2026-01-01
PC-0030,300,PLN-300-07,BUY-07,42,1.2,2.3,1.0,1.0,142.82,0.0,0.0,0.0,0.0,2026-01-01
PC-0030,400,PLN-400-07,BUY-07,42,1.2,2.3,1.0,1.0,142.82,0.0,0.0,0.0,0.0,2026-01-01
PC-0031,100,PLN-100-08,BUY-08,45,7.75,12.75,2.0,5.0,44.64,0.0,0.0,0.0,0.0,2026-01-01
PC-0031,200,PLN-200-08,BUY-08,45,7.75,12.75,2.0,5.0,44.64,0.0,0.0,0.0,0.0,2026-01-01
PC-0031,300,PLN-300-08,BUY-08,45,7.75,12.75,2.0,5.0,44.64,0.0,0.0,0.0,0.0,2026-01-01
PC-0031,400,PLN-400-08,BUY-08,45,7.75,12.75,2.0,5.0,44.64,0.0,0.0,0.0,0.0,2026-01-01
PC-0032,100,PLN-100-01,BUY-09,48,19.0,28.0,5.0,10.0,47.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0032,200,PLN-200-01,BUY-09,48,19.0,28.0,5.0,10.0,47.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0032,300,PLN-300-01,BUY-09,48,19.0,28.0,5.0,10.0,47.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0032,400,PLN-400-01,BUY-09,48,19.0,28.0,5.0,10.0,47.91,0.0,0.0,0.0,0.0,2026-01-01
PC-0033,100,PLN-100-02,BUY-10,51,45.0,61.0,10.0,20.0,51.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0033,200,PLN-200-02,BUY-10,51,45.0,61.0,10.0,20.0,51.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0033,300,PLN-300-02,BUY-10,51,45.0,61.0,10.0,20.0,51.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0033,400,PLN-400-02,BUY-10,51,45.0,61.0,10.0,20.0,51.19,0.0,0.0,0.0,0.0,2026-01-01
PC-0034,100,PLN-100-03,BUY-11,54,130.0,165.0,25.0,50.0,54.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0034,200,PLN-200-03,BUY-11,54,130.0,165.0,25.0,50.0,54.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0034,300,PLN-300-03,BUY-11,54,130.0,165.0,25.0,50.0,54.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0034,400,PLN-400-03,BUY-11,54,130.0,165.0,25.0,50.0,54.46,0.0,0.0,0.0,0.0,2026-01-01
PC-0035,100,PLN-100-04,BUY-12,57,120.0,180.0,50.0,100.0,57.73,0.0,0.0,0.0,0.0,2026-01-01
PC-0035,200,PLN-200-04,BUY-12,57,120.0,180.0,50.0,100.0,57.73,0.0,0.0,0.0,0.0,2026-01-01
PC-0035,300,PLN-300-04,BUY-12,57,120.0,180.0,50.0,100.0,57.73,0.0,0.0,0.0,0.0,2026-01-01
