id,bom_id,line_number,component_item_id,quantity_per,scrap_factor,issue_operation,cost_relevant
580,129,40,RM-0046,3.65,0.01,10,1
581,130,10,RM-0010,0.85,0.02,10,1
582,130,20,RM-0033,1.9,0.005,10,1
583,130,30,RM-0056,2.95,0.01,10,1
584,130,40,RM-0079,4.0,0.015,10,1
585,130,50,RM-0102,0.85,0.02,10,1
586,131,10,SA-0081,1.2,0.005,10,1
587,131,20,RM-0018,2.25,0.01,10,1
588,131,30,RM-0041,3.3,0.015,10,1
589,131,40,RM-0064,4.35,0.02,10,1
590,131,50,RM-0087,1.2,0.005,10,1
591,131,60,RM-0110,2.25,0.01,10,1
592,132,10,RM-0028,1.55,0.01,10,1
593,132,20,RM-0051,2.6,0.015,10,1
594,132,30,RM-0074,3.65,0.02,10,1
595,133,10,PC-0015,1.9,0.015,10,1
596,133,20,PC-0038,2.95,0.02,10,1
597,133,30,PC-0061,4.0,0.005,10,1
598,133,40,PC-0084,0.85,0.01,10,1
599,134,10,RM-0046,2.25,0.02,10,1
600,134,20,RM-0069,3.3,0.005,10,1
601,134,30,RM-0092,4.35,0.01,10,1
602,134,40,RM-0115,1.2,0.015,10,1
603,134,50,RM-0138,2.25,0.02,10,1
604,135,10,PC-0049,2.6,0.005,10,1
605,135,20,PC-0072,3.65,0.01,10,1
606,135,30,PC-0095,0.5,0.015,10,1
607,135,40,RM-0003,1.55,0.02,10,1
608,135,50,RM-0026,2.6,0.005,10,1
609,135,60,RM-0049,3.65,0.01,10,1
610,136,10,PC-0066,2.95,0.01,10,1
611,136,20,PC-0089,4.0,0.015,10,1
612,136,30,SA-0034,0.85,0.02,10,1
613,137,10,PC-0083,3.3,0.015,10,1
614,137,20,SA-0018,4.35,0.02,10,1
615,137,30,RM-0014,1.2,0.005,10,1
616,137,40,RM-0037,2.25,0.01,10,1
617,138,10,PC-0100,3.65,0.02,10,1
618,138,20,RM-0008,0.5,0.005,10,1
619,138,30,RM-0031,1.55,0.01,10,1
620,138,40,RM-0054,2.6,0.015,10,1
621,138,50,RM-0077,3.65,0.02,10,1
622,139,10,RM-0002,4.0,0.005,10,1
623,139,20,RM-0025,0.85,0.01,10,1
624,139,30,RM-0048,1.9,0.015,10,1
625,139,40,RM-0071,2.95,0.02,10,1
626,139,50,RM-0094,4.0,0.005,10,1
627,139,60,RM-0117,0.85,0.01,10,1
628,140,10,RM-0019,4.35,0.01,10,1
629,140,20,RM-0042,1.2,0.015,10,1
630,140,30,RM-0065,2.25,0.02,10,1
631,141,10,RM-0036,0.5,0.015,10,1
632,141,20,RM-0059,1.55,0.02,10,1
633,141,30,RM-0082,2.6,0.005,10,1
634,141,40,RM-0105,3.65,0.01,10,1
635,142,10,RM-0053,0.85,0.02,10,1
636,142,20,RM-0076,1.9,0.005,10,1
637,142,30,RM-0099,2.95,0.01,10,1
638,142,40,RM-0122,4.0,0.015,10,1
639,142,50,RM-0145,0.85,0.02,10,1
640,143,10,RM-0070,1.2,0.005,10,1
641,143,20,RM-0093,2.25,0.01,10,1
642,143,30,RM-0116,3.3,0.015,10,1
643,143,40,RM-0139,4.35,0.02,10,1
644,143,50,PC-0012,1.2,0.005,10,1
645,143,60,PC-0035,2.25,0.01,10,1
646,144,10,RM-0087,1.55,0.01,10,1
647,144,20,RM-0110,2.6,0.015,10,1
648,144,30,RM-0133,3.65,0.02,10,1
649,145,10,RM-0104,1.9,0.015,10,1
650,145,20,RM-0127,2.95,0.02,10,1
651,145,30,RM-0150,4.0,0.005,10,1
652,145,40,PC-0023,0.85,0.01,10,1
653,146,10,RM-0121,2.25,0.02,10,1
654,146,20,RM-0144,3.3,0.005,10,1
655,146,30,PC-0017,4.35,0.01,10,1
656,146,40,PC-0040,1.2,0.015,10,1
657,146,50,PC-0063,2.25,0.02,10,1
658,147,10,RM-0138,2.6,0.005,10,1
659,147,20,PC-0011,3.65,0.01,10,1
660,147,30,PC-0034,0.5,0.015,10,1
661,147,40,PC-0057,1.55,0.02,10,1
662,147,50,PC-0080,2.6,0.005,10,1
663,147,60,SA-0009,3.65,0.01,10,1
664,148,10,PC-0005,2.95,0.01,10,1
665,148,20,PC-0028,4.0,0.015,10,1
666,148,30,PC-0051,0.85,0.02,10,1
667,149,10,PC-0004,3.3,0.015,10,1
668,149,20,PC-0027,4.35,0.02,10,1
669,149,30,PC-0050,1.2,0.005,10,1
670,149,40,PC-0073,2.25,0.01,10,1
671,150,10,PC-0039,3.65,0.02,10,1
672,150,20,PC-0062,0.5,0.005,10,1
673,150,30,PC-0085,1.55,0.01,10,1
674,150,40,SA-0022,2.6,0.015,10,1
675,150,50,RM-0016,3.65,0.02,10,1
676,151,10,PC-0020,4.0,0.005,10,1
677,151,20,PC-0043,0.85,0.01,10,1
678,151,30,PC-0066,1.9,0.015,10,1
679,151,40,PC-0089,2.95,0.02,10,1
680,151,50,SA-0036,4.0,0.005,10,1
681,151,60,RM-0016,0.85,0.01,10,1
682,152,10,PC-0064,4.35,0.01,10,1
683,152,20,PC-0087,1.2,0.015,10,1
684,152,30,SA-0028,2.25,0.02,10,1
685,153,10,PC-0036,0.5,0.015,10,1
686,153,20,PC-0059,1.55,0.02,10,1
687,153,30,PC-0082,2.6,0.005,10,1
688,153,40,SA-0015,3.65,0.01,10,1
689,154,10,PC-0080,0.85,0.02,10,1
690,154,20,SA-0007,1.9,0.005,10,1
691,154,30,RM-0008,2.95,0.01,10,1
692,154,40,RM-0031,4.0,0.015,10,1
693,154,50,RM-0054,0.85,0.02,10,1
694,155,10,PC-0052,1.2,0.005,10,1
695,155,20,PC-0075,2.25,0.01,10,1
696,155,30,PC-0098,3.3,0.015,10,1
697,155,40,SA-0063,4.35,0.02,10,1
698,155,50,RM-0021,1.2,0.005,10,1
699,155,60,RM-0044,2.25,0.01,10,1
700,156,10,PC-0096,1.55,0.01,10,1
701,156,20,SA-0055,2.6,0.015,10,1
702,156,30,RM-0022,3.65,0.02,10,1
703,157,10,PC-0068,1.9,0.015,10,1
704,157,20,PC-0091,2.95,0.02,10,1
705,157,30,SA-0042,4.0,0.005,10,1
706,157,40,RM-0012,0.85,0.01,10,1
707,158,10,SA-0034,2.25,0.02,10,1
708,158,20,RM-0013,3.3,0.005,10,1
709,158,30,RM-0036,4.35,0.01,10,1
710,158,40,RM-0059,1.2,0.015,10,1
711,158,50,RM-0082,2.25,0.02,10,1
712,159,10,PC-0084,2.6,0.005,10,1
713,159,20,SA-0021,3.65,0.01,10,1
714,159,30,RM-0003,0.5,0.015,10,1
715,159,40,RM-0026,1.55,0.02,10,1
716,159,50,RM-0049,2.6,0.005,10,1
717,159,60,RM-0072,3.65,0.01,10,1
718,160,10,RM-0004,2.95,0.01,10,1
719,160,20,RM-0027,4.0,0.015,10,1
720,160,30,RM-0050,0.85,0.02,10,1
721,161,10,PC-0100,3.3,0.015,10,1
722,161,20,SA-0069,4.35,0.02,10,1
723,161,30,RM-0017,1.2,0.005,10,1
724,161,40,RM-0040,2.25,0.01,10,1
725,162,10,RM-0018,3.65,0.02,10,1
726,162,20,RM-0041,0.5,0.005,10,1
727,162,30,RM-0064,1.55,0.01,10,1
728,162,40,RM-0087,2.6,0.015,10,1
729,162,50,RM-0110,3.65,0.02,10,1
730,163,10,SA-0048,4.0,0.005,10,1
731,163,20,RM-0008,0.85,0.01,10,1
732,163,30,RM-0031,1.9,0.015,10,1
733,163,40,RM-0054,2.95,0.02,10,1
734,163,50,RM-0077,4.0,0.005,10,1
735,163,60,RM-0100,0.85,0.01,10,1
736,164,10,RM-0032,4.35,0.01,10,1
737,164,20,RM-0055,1.2,0.015,10,1
738,164,30,RM-0078,2.25,0.02,10,1
739,165,10,PC-0029,0.5,0.015,10,1
740,165,20,PC-0052,1.55,0.02,10,1
741,165,30,PC-0075,2.6,0.005,10,1
742,165,40,PC-0098,3.65,0.01,10,1
743,166,10,RM-0046,0.85,0.02,10,1
744,166,20,RM-0069,1.9,0.005,10,1
745,166,30,RM-0092,2.95,0.01,10,1
746,166,40,RM-0115,4.0,0.015,10,1
747,166,50,RM-0138,0.85,0.02,10,1
748,167,10,PC-0063,1.2,0.005,10,1
749,167,20,PC-0086,2.25,0.01,10,1
750,167,30,SA-0027,3.3,0.015,10,1
751,167,40,RM-0017,4.35,0.02,10,1
752,167,50,RM-0040,1.2,0.005,10,1
753,167,60,RM-0063,2.25,0.01,10,1
754,168,10,RM-0060,1.55,0.01,10,1
755,168,20,RM-0083,2.6,0.015,10,1
756,168,30,RM-0106,3.65,0.02,10,1
757,169,10,PC-0097,1.9,0.015,10,1
758,169,20,RM-0005,2.95,0.02,10,1
759,169,30,RM-0028,4.0,0.005,10,1
760,169,40,RM-0051,0.85,0.01,10,1
761,170,10,SA-0040,2.25,0.02,10,1
762,170,20,RM-0022,3.3,0.005,10,1
763,170,30,RM-0045,4.35,0.01,10,1
764,170,40,RM-0068,1.2,0.015,10,1
765,170,50,RM-0091,2.25,0.02,10,1
766,171,10,RM-0016,2.6,0.005,10,1
767,171,20,RM-0039,3.65,0.01,10,1
768,171,30,RM-0062,0.5,0.015,10,1
769,171,40,RM-0085,1.55,0.02,10,1
770,171,50,RM-0108,2.6,0.005,10,1
771,171,60,RM-0131,3.65,0.01,10,1
772,172,10,RM-0033,2.95,0.01,10,1
773,172,20,RM-0056,4.0,0.015,10,1
774,172,30,RM-0079,0.85,0.02,10,1
775,173,10,RM-0050,3.3,0.015,10,1
776,173,20,RM-0073,4.35,0.02,10,1
777,173,30,RM-0096,1.2,0.005,10,1
778,173,40,RM-0119,2.25,0.01,10,1
779,174,10,RM-0067,3.65,0.02,10,1
780,174,20,RM-0090,0.5,0.005,10,1
781,174,30,RM-0113,1.55,0.01,10,1
782,174,40,RM-0136,2.6,0.015,10,1
783,174,50,PC-0009,3.65,0.02,10,1
784,175,10,RM-0084,4.0,0.005,10,1
785,175,20,RM-0107,0.85,0.01,10,1
786,175,30,RM-0130,1.9,0.015,10,1
787,175,40,PC-0003,2.95,0.02,10,1
788,175,50,PC-0026,4.0,0.005,10,1
789,175,60,PC-0049,0.85,0.01,10,1
790,176,10,RM-0101,4.35,0.01,10,1
791,176,20,RM-0124,1.2,0.015,10,1
792,176,30,RM-0147,2.25,0.02,10,1
793,177,10,RM-0118,0.5,0.015,10,1
794,177,20,RM-0141,1.55,0.02,10,1
795,177,30,PC-0014,2.6,0.005,10,1
796,177,40,PC-0037,3.65,0.01,10,1
797,178,10,RM-0135,0.85,0.02,10,1
798,178,20,PC-0008,1.9,0.005,10,1
799,178,30,PC-0031,2.95,0.01,10,1
800,178,40,PC-0054,4.0,0.015,10,1
801,178,50,PC-0077,0.85,0.02,10,1
802,179,10,PC-0002,1.2,0.005,10,1
803,179,20,PC-0025,2.25,0.01,10,1
804,179,30,PC-0048,3.3,0.015,10,1
805,179,40,PC-0071,4.35,0.02,10,1
806,179,50,PC-0094,1.2,0.005,10,1
807,179,60,RM-0002,2.25,0.01,10,1
808,180,10,PC-0019,1.55,0.01,10,1
809,180,20,PC-0042,2.6,0.015,10,1
810,180,30,PC-0065,3.65,0.02,10,1
811,181,10,PC-0025,1.9,0.015,10,1
812,181,20,PC-0048,2.95,0.02,10,1
813,181,30,PC-0071,4.0,0.005,10,1
814,181,40,PC-0094,0.85,0.01,10,1
815,182,10,PC-0053,2.25,0.02,10,1
816,182,20,PC-0076,3.3,0.005,10,1
817,182,30,PC-0099,4.35,0.01,10,1
818,182,40,RM-0007,1.2,0.015,10,1
819,182,50,RM-0030,2.25,0.02,10,1
820,183,10,PC-0037,2.6,0.005,10,1
821,183,20,PC-0060,3.65,0.01,10,1
822,183,30,PC-0083,0.5,0.015,10,1
823,183,40,SA-0018,1.55,0.02,10,1
824,183,50,RM-0011,2.6,0.005,10,1
825,183,60,RM-0034,3.65,0.01,10,1
826,184,10,PC-0087,2.95,0.01,10,1
827,184,20,SA-0028,4.0,0.015,10,1
828,184,30,RM-0018,0.85,0.02,10,1
829,185,10,PC-0049,3.3,0.015,10,1
830,185,20,PC-0072,4.35,0.02,10,1
831,185,30,PC-0095,1.2,0.005,10,1
832,185,40,SA-0054,2.25,0.01,10,1
833,186,10,SA-0028,3.65,0.02,10,1
834,186,20,RM-0017,0.5,0.005,10,1
835,186,30,RM-0040,1.55,0.01,10,1
836,186,40,RM-0063,2.6,0.015,10,1
837,186,50,RM-0086,3.65,0.02,10,1
838,187,10,PC-0061,4.0,0.005,10,1
839,187,20,PC-0084,0.85,0.01,10,1
840,187,30,SA-0021,1.9,0.015,10,1
841,187,40,RM-0008,2.95,0.02,10,1
842,187,50,RM-0031,4.0,0.005,10,1
843,187,60,RM-0054,0.85,0.01,10,1
844,188,10,RM-0004,4.35,0.01,10,1
845,188,20,RM-0027,1.2,0.015,10,1
846,188,30,RM-0050,2.25,0.02,10,1
847,189,10,PC-0073,0.5,0.015,10,1
848,189,20,PC-0096,1.55,0.02,10,1
849,189,30,SA-0057,2.6,0.005,10,1
850,189,40,RM-0018,3.65,0.01,10,1
851,190,10,RM-0014,0.85,0.02,10,1
852,190,20,RM-0037,1.9,0.005,10,1
853,190,30,RM-0060,2.95,0.01,10,1
854,190,40,RM-0083,4.0,0.015,10,1
855,190,50,RM-0106,0.85,0.02,10,1
856,191,10,PC-0085,1.2,0.005,10,1
857,191,20,SA-0024,2.25,0.01,10,1
858,191,30,RM-0005,3.3,0.015,10,1
859,191,40,RM-0028,4.35,0.02,10,1
860,191,50,RM-0051,1.2,0.005,10,1
861,191,60,RM-0074,2.25,0.01,10,1
862,192,10,RM-0024,1.55,0.01,10,1
863,192,20,RM-0047,2.6,0.015,10,1
864,192,30,RM-0070,3.65,0.02,10,1
865,193,10,PC-0097,1.9,0.015,10,1
866,193,20,SA-0060,2.95,0.02,10,1
867,193,30,RM-0015,4.0,0.005,10,1
868,193,40,RM-0038,0.85,0.01,10,1
869,194,10,RM-0034,2.25,0.02,10,1
870,194,20,RM-0057,3.3,0.005,10,1
871,194,30,RM-0080,4.35,0.01,10,1
872,194,40,RM-0103,1.2,0.015,10,1
873,194,50,RM-0126,2.25,0.02,10,1
874,195,10,SA-0027,2.6,0.005,10,1
875,195,20,RM-0002,3.65,0.01,10,1
876,195,30,RM-0025,0.5,0.015,10,1
877,195,40,RM-0048,1.55,0.02,10,1
878,195,50,RM-0071,2.6,0.005,10,1
879,195,60,RM-0094,3.65,0.01,10,1
880,196,10,RM-0044,2.95,0.01,10,1
881,196,20,RM-0067,4.0,0.015,10,1
882,196,30,RM-0090,0.85,0.02,10,1
883,197,10,SA-0063,3.3,0.015,10,1
884,197,20,RM-0012,4.35,0.02,10,1
885,197,30,RM-0035,1.2,0.005,10,1
886,197,40,RM-0058,2.25,0.01,10,1
887,198,10,RM-0054,3.65,0.02,10,1
888,198,20,RM-0077,0.5,0.005,10,1
889,198,30,RM-0100,1.55,0.01,10,1
890,198,40,RM-0123,2.6,0.015,10,1
891,198,50,RM-0146,3.65,0.02,10,1
892,199,10,PC-0077,4.0,0.005,10,1
893,199,20,PC-0100,0.85,0.01,10,1
894,199,30,RM-0008,1.9,0.015,10,1
895,199,40,RM-0031,2.95,0.02,10,1
896,199,50,RM-0054,4.0,0.005,10,1
897,199,60,RM-0077,0.85,0.01,10,1
898,200,10,RM-0064,4.35,0.01,10,1
899,200,20,RM-0087,1.2,0.015,10,1
900,200,30,RM-0110,2.25,0.02,10,1
901,201,10,SA-0033,0.5,0.015,10,1
902,201,20,RM-0019,1.55,0.02,10,1
903,201,30,RM-0042,2.6,0.005,10,1
904,201,40,RM-0065,3.65,0.01,10,1
905,202,10,RM-0074,0.85,0.02,10,1
906,202,20,RM-0097,1.9,0.005,10,1
907,202,30,RM-0120,2.95,0.01,10,1
908,202,40,RM-0143,4.0,0.015,10,1
909,202,50,PC-0016,0.85,0.02,10,1
910,203,10,RM-0030,1.2,0.005,10,1
911,203,20,RM-0053,2.25,0.01,10,1
912,203,30,RM-0076,3.3,0.015,10,1
913,203,40,RM-0099,4.35,0.02,10,1
914,203,50,RM-0122,1.2,0.005,10,1
915,203,60,RM-0145,2.25,0.01,10,1
916,204,10,RM-0047,1.55,0.01,10,1
917,204,20,RM-0070,2.6,0.015,10,1
918,204,30,RM-0093,3.65,0.02,10,1
919,205,10,RM-0064,1.9,0.015,10,1
920,205,20,RM-0087,2.95,0.02,10,1
921,205,30,RM-0110,4.0,0.005,10,1
922,205,40,RM-0133,0.85,0.01,10,1
923,206,10,RM-0081,2.25,0.02,10,1
924,206,20,RM-0104,3.3,0.005,10,1
925,206,30,RM-0127,4.35,0.01,10,1
926,206,40,RM-0150,1.2,0.015,10,1
927,206,50,PC-0023,2.25,0.02,10,1
928,207,10,RM-0098,2.6,0.005,10,1
929,207,20,RM-0121,3.65,0.01,10,1
930,207,30,RM-0144,0.5,0.015,10,1
931,207,40,PC-0017,1.55,0.02,10,1
932,207,50,PC-0040,2.6,0.005,10,1
933,207,60,PC-0063,3.65,0.01,10,1
934,208,10,RM-0115,2.95,0.01,10,1
935,208,20,RM-0138,4.0,0.015,10,1
936,208,30,PC-0011,0.85,0.02,10,1
937,209,10,RM-0132,3.3,0.015,10,1
938,209,20,PC-0005,4.35,0.02,10,1
939,209,30,PC-0028,1.2,0.005,10,1
940,209,40,PC-0051,2.25,0.01,10,1
941,210,10,RM-0149,3.65,0.02,10,1
942,210,20,PC-0022,0.5,0.005,10,1
943,210,30,PC-0045,1.55,0.01,10,1
944,210,40,PC-0068,2.6,0.015,10,1
945,210,50,PC-0091,3.65,0.02,10,1
946,211,10,PC-0016,4.0,0.005,10,1
947,211,20,PC-0039,0.85,0.01,10,1
948,211,30,PC-0062,1.9,0.015,10,1
949,211,40,PC-0085,2.95,0.02,10,1
950,211,50,SA-0024,4.0,0.005,10,1
951,211,60,RM-0016,0.85,0.01,10,1
952,212,10,PC-0033,4.35,0.01,10,1
953,212,20,PC-0056,1.2,0.015,10,1
954,212,30,PC-0079,2.25,0.02,10,1
955,213,10,PC-0050,0.5,0.015,10,1
956,213,20,PC-0073,1.55,0.02,10,1
957,213,30,PC-0096,2.6,0.005,10,1
958,213,40,RM-0004,3.65,0.01,10,1
959,214,10,PC-0067,0.85,0.02,10,1
960,214,20,PC-0090,1.9,0.005,10,1
961,214,30,SA-0037,2.95,0.01,10,1
962,214,40,RM-0021,4.0,0.015,10,1
963,214,50,RM-0044,0.85,0.02,10,1
964,215,10,PC-0058,1.2,0.005,10,1
965,215,20,PC-0081,2.25,0.01,10,1
966,215,30,SA-0012,3.3,0.015,10,1
967,215,40,RM-0010,4.35,0.02,10,1
968,215,50,RM-0033,1.2,0.005,10,1
969,215,60,RM-0056,2.25,0.01,10,1
970,216,10,SA-0001,1.55,0.01,10,1
971,216,20,RM-0009,2.6,0.015,10,1
972,216,30,RM-0032,3.65,0.02,10,1
973,217,10,PC-0066,1.9,0.015,10,1
974,217,20,PC-0089,2.95,0.02,10,1
975,217,30,SA-0036,4.0,0.005,10,1
976,217,40,RM-0016,0.85,0.01,10,1
977,218,10,RM-0020,2.25,0.02,10,1
978,218,20,RM-0043,3.3,0.005,10,1
979,218,30,RM-0066,4.35,0.01,10,1
980,218,40,RM-0089,1.2,0.015,10,1
981,218,50,RM-0112,2.25,0.02,10,1
982,219,10,PC-0074,2.6,0.005,10,1
983,219,20,PC-0097,3.65,0.01,10,1
984,219,30,SA-0060,0.5,0.015,10,1
985,219,40,RM-0022,1.55,0.02,10,1
986,219,50,RM-0045,2.6,0.005,10,1
987,219,60,RM-0068,3.65,0.01,10,1
988,220,10,RM-0040,2.95,0.01,10,1
989,220,20,RM-0063,4.0,0.015,10,1
990,220,30,RM-0086,0.85,0.02,10,1
991,221,10,PC-0082,3.3,0.015,10,1
992,221,20,SA-0014,4.35,0.02,10,1
993,221,30,RM-0005,1.2,0.005,10,1
994,221,40,RM-0028,2.25,0.01,10,1
995,222,10,PC-0086,3.65,0.02,10,1
996,222,20,SA-0026,0.5,0.005,10,1
997,222,30,RM-0008,1.55,0.01,10,1
998,222,40,RM-0031,2.6,0.015,10,1
999,222,50,RM-0054,3.65,0.02,10,1
1000,223,10,PC-0090,4.0,0.005,10,1
1001,223,20,SA-0038,0.85,0.01,10,1
1002,223,30,RM-0011,1.9,0.015,10,1
1003,223,40,RM-0034,2.95,0.02,10,1
1004,223,50,RM-0057,4.0,0.005,10,1
1005,223,60,RM-0080,0.85,0.01,10,1
1006,224,10,PC-0094,4.35,0.01,10,1
1007,224,20,SA-0050,1.2,0.015,10,1
1008,224,30,RM-0014,2.25,0.02,10,1
1009,225,10,PC-0098,0.5,0.015,10,1
1010,225,20,SA-0062,1.55,0.02,10,1
1011,225,30,RM-0017,2.6,0.005,10,1
1012,225,40,RM-0040,3.65,0.01,10,1
1013,226,10,SA-0005,0.85,0.02,10,1
1014,226,20,SA-0074,1.9,0.005,10,1
1015,226,30,RM-0020,2.95,0.01,10,1
1016,226,40,RM-0043,4.0,0.015,10,1
1017,226,50,RM-0066,0.85,0.02,10,1
1018,227,10,SA-0017,1.2,0.005,10,1
1019,227,20,SA-0086,2.25,0.01,10,1
1020,227,30,RM-0023,3.3,0.015,10,1
1021,227,40,RM-0046,4.35,0.02,10,1
1022,227,50,RM-0069,1.2,0.005,10,1
1023,227,60,RM-0092,2.25,0.01,10,1
1024,228,10,SA-0029,1.55,0.01,10,1
1025,228,20,RM-0003,2.6,0.015,10,1
1026,228,30,RM-0026,3.65,0.02,10,1
1027,229,10,SA-0041,1.9,0.015,10,1
1028,229,20,RM-0006,2.95,0.02,10,1
1029,229,30,RM-0029,4.0,0.005,10,1
1030,229,40,RM-0052,0.85,0.01,10,1
1031,230,10,SA-0053,2.25,0.02,10,1
1032,230,20,RM-0009,3.3,0.005,10,1
1033,230,30,RM-0032,4.35,0.01,10,1
1034,230,40,RM-0055,1.2,0.015,10,1
1035,230,50,RM-0078,2.25,0.02,10,1
1036,231,10,PC-0091,2.6,0.005,10,1
1037,231,20,SA-0041,3.65,0.01,10,1
1038,231,30,RM-0022,0.5,0.015,10,1
1039,231,40,RM-0045,1.55,0.02,10,1
1040,231,50,RM-0068,2.6,0.005,10,1
1041,231,60,RM-0091,3.65,0.01,10,1
1042,232,10,SA-0023,2.95,0.01,10,1
1043,232,20,RM-0016,4.0,0.015,10,1
1044,232,30,RM-0039,0.85,0.02,10,1
1045,233,10,RM-0010,3.3,0.015,10,1
1046,233,20,RM-0033,4.35,0.02,10,1
1047,233,30,RM-0056,1.2,0.005,10,1
1048,233,40,RM-0079,2.25,0.01,10,1
1049,234,10,RM-0027,3.65,0.02,10,1
1050,234,20,RM-0050,0.5,0.005,10,1
1051,234,30,RM-0073,1.55,0.01,10,1
1052,234,40,RM-0096,2.6,0.015,10,1
1053,234,50,RM-0119,3.65,0.02,10,1
1054,235,10,RM-0044,4.0,0.005,10,1
1055,235,20,RM-0067,0.85,0.01,10,1
1056,235,30,RM-0090,1.9,0.015,10,1
1057,235,40,RM-0113,2.95,0.02,10,1
1058,235,50,RM-0136,4.0,0.005,10,1
1059,235,60,PC-0009,0.85,0.01,10,1
1060,236,10,RM-0061,4.35,0.01,10,1
1061,236,20,RM-0084,1.2,0.015,10,1
1062,236,30,RM-0107,2.25,0.02,10,1
1063,237,10,RM-0078,0.5,0.015,10,1
1064,237,20,RM-0101,1.55,0.02,10,1
1065,237,30,RM-0124,2.6,0.005,10,1
1066,237,40,RM-0147,3.65,0.01,10,1
1067,238,10,RM-0095,0.85,0.02,10,1
1068,238,20,RM-0118,1.9,0.005,10,1
1069,238,30,RM-0141,2.95,0.01,10,1
1070,238,40,PC-0014,4.0,0.015,10,1
1071,238,50,PC-0037,0.85,0.02,10,1
1072,239,10,RM-0112,1.2,0.005,10,1
1073,239,20,RM-0135,2.25,0.01,10,1
1074,239,30,PC-0008,3.3,0.015,10,1
1075,239,40,PC-0031,4.35,0.02,10,1
1076,239,50,PC-0054,1.2,0.005,10,1
1077,239,60,PC-0077,2.25,0.01,10,1
1078,240,10,RM-0129,1.55,0.01,10,1
1079,240,20,PC-0002,2.6,0.015,10,1
1080,240,30,PC-0025,3.65,0.02,10,1
1081,241,10,RM-0146,1.9,0.015,10,1
1082,241,20,PC-0019,2.95,0.02,10,1
1083,241,30,PC-0042,4.0,0.005,10,1
1084,241,40,PC-0065,0.85,0.01,10,1
1085,242,10,PC-0013,2.25,0.02,10,1
1086,242,20,PC-0036,3.3,0.005,10,1
1087,242,30,PC-0059,4.35,0.01,10,1
1088,242,40,PC-0082,1.2,0.015,10,1
1089,242,50,SA-0014,2.25,0.02,10,1
1090,243,10,PC-0030,2.6,0.005,10,1
1091,243,20,PC-0053,3.65,0.01,10,1
1092,243,30,PC-0076,0.5,0.015,10,1
1093,243,40,PC-0099,1.55,0.02,10,1
1094,243,50,RM-0007,2.6,0.005,10,1
1095,243,60,RM-0030,3.65,0.01,10,1
1096,244,10,PC-0047,2.95,0.01,10,1
1097,244,20,PC-0070,4.0,0.015,10,1
1098,244,30,PC-0093,0.85,0.02,10,1
1099,245,10,PC-0064,3.3,0.015,10,1
1100,245,20,PC-0087,4.35,0.02,10,1
1101,245,30,SA-0029,1.2,0.005,10,1
1102,245,40,RM-0018,2.25,0.01,10,1
1103,246,10,PC-0081,3.65,0.02,10,1
1104,246,20,SA-0011,0.5,0.005,10,1
1105,246,30,RM-0012,1.55,0.01,10,1
1106,246,40,RM-0035,2.6,0.015,10,1
1107,246,50,RM-0058,3.65,0.02,10,1
1108,247,10,PC-0083,4.0,0.005,10,1
1109,247,20,SA-0017,0.85,0.01,10,1
1110,247,30,RM-0013,1.9,0.015,10,1
1111,247,40,RM-0036,2.95,0.02,10,1
1112,247,50,RM-0059,4.0,0.005,10,1
1113,247,60,RM-0082,0.85,0.01,10,1
1114,248,10,PC-0085,4.35,0.01,10,1
1115,248,20,SA-0023,1.2,0.015,10,1
1116,248,30,RM-0014,2.25,0.02,10,1
1117,249,10,PC-0087,0.5,0.015,10,1
1118,249,20,SA-0029,1.55,0.02,10,1
1119,249,30,RM-0015,2.6,0.005,10,1
1120,249,40,RM-0038,3.65,0.01,10,1
1121,250,10,PC-0089,0.85,0.02,10,1
1122,250,20,SA-0035,1.9,0.005,10,1
1123,250,30,RM-0016,2.95,0.01,10,1
1124,250,40,RM-0039,4.0,0.015,10,1
1125,250,50,RM-0062,0.85,0.02,10,1
1126,251,10,PC-0091,1.2,0.005,10,1
1127,251,20,SA-0041,2.25,0.01,10,1
1128,251,30,RM-0017,3.3,0.015,10,1
1129,251,40,RM-0040,4.35,0.02,10,1
1130,251,50,RM-0063,1.2,0.005,10,1
1131,251,60,RM-0086,2.25,0.01,10,1
1132,252,10,PC-0093,1.55,0.01,10,1
1133,252,20,SA-0047,2.6,0.015,10,1
1134,252,30,RM-0018,3.65,0.02,10,1
1135,253,10,PC-0095,1.9,0.015,10,1
1136,253,20,SA-0053,2.95,0.02,10,1
1137,253,30,RM-0019,4.0,0.005,10,1
1138,253,40,RM-0042,0.85,0.01,10,1
1139,254,10,PC-0097,2.25,0.02,10,1
1140,254,20,SA-0059,3.3,0.005,10,1
1141,254,30,RM-0020,4.35,0.01,10,1
1142,254,40,RM-0043,1.2,0.015,10,1
1143,254,50,RM-0066,2.25,0.02,10,1
1144,255,10,PC-0099,2.6,0.005,10,1
1145,255,20,SA-0065,3.65,0.01,10,1
1146,255,30,RM-0021,0.5,0.015,10,1
1147,255,40,RM-0044,1.55,0.02,10,1
1148,255,50,RM-0067,2.6,0.005,10,1
1149,255,60,RM-0090,3.65,0.01,10,1
1150,256,10,SA-0002,2.95,0.01,10,1
1151,256,20,SA-0071,4.0,0.015,10,1
1152,256,30,RM-0022,0.85,0.02,10,1
1153,257,10,SA-0008,3.3,0.015,10,1
1154,257,20,SA-0077,4.35,0.02,10,1
